graph_family,method,rho,n,m_og,m_sparse,edges_ratio,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_in_0,degree_distribution_original_in_1,degree_distribution_original_in_2,degree_distribution_original_in_3,degree_distribution_original_in_4,degree_distribution_original_in_5,degree_distribution_original_in_6,degree_distribution_original_in_7,degree_distribution_original_in_8,degree_distribution_original_in_9,degree_distribution_original_out_0,degree_distribution_original_out_1,degree_distribution_original_out_2,degree_distribution_original_out_3,degree_distribution_original_out_4,degree_distribution_original_out_5,degree_distribution_original_out_6,degree_distribution_original_out_7,degree_distribution_original_out_8,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,degree_distribution_sparsified_in_0,degree_distribution_sparsified_in_1,degree_distribution_sparsified_in_2,degree_distribution_sparsified_in_3,degree_distribution_sparsified_in_4,degree_distribution_sparsified_in_5,degree_distribution_sparsified_in_6,degree_distribution_sparsified_in_7,degree_distribution_sparsified_in_8,degree_distribution_sparsified_in_9,degree_distribution_sparsified_out_0,degree_distribution_sparsified_out_1,degree_distribution_sparsified_out_2,degree_distribution_sparsified_out_3,degree_distribution_sparsified_out_4,degree_distribution_sparsified_out_5,degree_distribution_sparsified_out_6,degree_distribution_sparsified_out_7,degree_distribution_sparsified_out_8,sparsify_time,metric_time
planar,k_neighbor,0.2,45.88,125.4,40.16,0.33359165599225704,inf,inf,0.7227733328131728,inf,inf,inf,800203.8323385543,340837.59403264394,0.07424989539401027,0.12674933117075415,0.32609478852835416,0.22526480428839762,0.1424031168534378,0.08528562134909637,0.05017632601346084,0.02181594443363051,0.0123456790123456,0.0125,0.1481589907892182,0.1725666417937944,0.1712138327215503,0.1968973881839149,0.14620916558902908,0.11730152413604988,0.057779931207974866,0.03243447338853774,0.01785889888952535,0.47447343496754973,0.3530907945990714,0.14977517698198442,0.04487041241710082,0.01762084788548626,,,,,,,,,,,,,,,,,,,,,0.000542342560000812,0.002466350719996588
planar,kols,0.2,45.88,125.4,44.88,0.3713975867746177,inf,inf,1.0,inf,inf,inf,800203.8323385543,61770.01816752,0.07424989539401027,0.12674933117075415,0.32609478852835416,0.22526480428839762,0.1424031168534378,0.08528562134909637,0.05017632601346084,0.02181594443363051,0.0123456790123456,0.0125,0.1481589907892182,0.1725666417937944,0.1712138327215503,0.1968973881839149,0.14620916558902908,0.11730152413604988,0.057779931207974866,0.03243447338853774,0.01785889888952535,,,,,,,0.30689681337993496,0.476833323534972,0.18109179441395562,0.04440270316900616,0.025091890587513654,0.011822612954217632,,,,,0.6064297972662852,0.13802509762023438,0.10937671150687862,0.0817681492383395,0.051916508578159784,0.05031122086528774,0.022460115219406187,0.019829422445701465,0.013691226805980849,0.0002480468399994195,0.0024241875599988762
planar,local_degree,0.2,45.88,125.4,39.6,0.32840120763319264,inf,inf,1.0,inf,inf,inf,800203.8323385543,274207.5896301234,0.07424989539401027,0.12674933117075415,0.32609478852835416,0.22526480428839762,0.1424031168534378,0.08528562134909637,0.05017632601346084,0.02181594443363051,0.0123456790123456,0.0125,0.1481589907892182,0.1725666417937944,0.1712138327215503,0.1968973881839149,0.14620916558902908,0.11730152413604988,0.057779931207974866,0.03243447338853774,0.01785889888952535,,,,,,,0.5228938270142376,0.25799245028129725,0.13165294902480862,0.0669377782082757,0.03778165136754167,0.017740518793209512,0.0173522498569277,0.024380714633018226,0.0123456790123456,0.0125,0.1481589907892182,0.8518410092107819,,,,,,,,0.00029924668000143664,0.002359113479998264
planar,mst,0.2,45.88,125.4,44.88,0.3713975867746177,inf,75.83808,0.0,inf,inf,inf,800203.8323385543,112573.34253844,0.07424989539401027,0.12674933117075415,0.32609478852835416,0.22526480428839762,0.1424031168534378,0.08528562134909637,0.05017632601346084,0.02181594443363051,0.0123456790123456,0.0125,0.1481589907892182,0.1725666417937944,0.1712138327215503,0.1968973881839149,0.14620916558902908,0.11730152413604988,0.057779931207974866,0.03243447338853774,0.01785889888952535,0.40474110909404104,0.34555382257519723,0.1849263391582214,0.06791840105186676,0.032824477754112985,0.0125,,,,,,,,,,,,,,,,,,,,0.000482614359998432,0.004455258559998992
planar,original,0.2,45.88,125.4,,1.0,inf,inf,1.0,inf,inf,inf,800203.8323385543,800203.8323385543,0.07424989539401027,0.12674933117075415,0.32609478852835416,0.22526480428839762,0.1424031168534378,0.08528562134909637,0.05017632601346084,0.02181594443363051,0.0123456790123456,0.0125,0.1481589907892182,0.1725666417937944,0.1712138327215503,0.1968973881839149,0.14620916558902908,0.11730152413604988,0.057779931207974866,0.03243447338853774,0.01785889888952535,,,,,,,0.07424989539401027,0.12674933117075415,0.32609478852835416,0.22526480428839762,0.1424031168534378,0.08528562134909637,0.05017632601346084,0.02181594443363051,0.0123456790123456,0.0125,0.1481589907892182,0.1725666417937944,0.1712138327215503,0.1968973881839149,0.14620916558902908,0.11730152413604988,0.057779931207974866,0.03243447338853774,0.01785889888952535,,0.003273657080003388
planar,random,0.2,45.88,125.4,100.8,0.8187676360031539,inf,inf,1.0,inf,inf,inf,800203.8323385543,620213.0646095648,0.07424989539401027,0.12674933117075415,0.32609478852835416,0.22526480428839762,0.1424031168534378,0.08528562134909637,0.05017632601346084,0.02181594443363051,0.0123456790123456,0.0125,0.1481589907892182,0.1725666417937944,0.1712138327215503,0.1968973881839149,0.14620916558902908,0.11730152413604988,0.057779931207974866,0.03243447338853774,0.01785889888952535,,,,,,,0.09877406091231727,0.22394527282405732,0.34996430615669666,0.18888772875489365,0.10502456963023193,0.055457537832338054,0.023110232560457942,0.02132515907746265,0.0125,,0.19534321646500039,0.20732498385371706,0.20935026298472106,0.1865552117492383,0.12957908609697505,0.08767927021427249,0.03202876538427572,0.0357142857142857,0.0130034535295686,0.00017686851999766133,0.0028652868000005483
planar,t_spanner,0.2,45.88,125.4,111.76,0.9091449029958716,inf,inf,1.0,inf,inf,inf,800203.8323385543,178910.92927282464,0.07424989539401027,0.12674933117075415,0.32609478852835416,0.22526480428839762,0.1424031168534378,0.08528562134909637,0.05017632601346084,0.02181594443363051,0.0123456790123456,0.0125,0.1481589907892182,0.1725666417937944,0.1712138327215503,0.1968973881839149,0.14620916558902908,0.11730152413604988,0.057779931207974866,0.03243447338853774,0.01785889888952535,,,,,,,,0.1994363764444934,0.3854936650791548,0.2877860039450896,0.10710359940153635,0.03394908562745042,0.01723901098901095,,,,,0.1994363764444934,0.3854936650791548,0.2877860039450896,0.10710359940153635,0.03394908562745042,0.01723901098901095,,,0.002233079199999064,0.007274278439999716
