graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_1,degree_distribution_original_2,degree_distribution_original_3,degree_distribution_original_4,degree_distribution_original_5,degree_distribution_sparsified_0,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,sparsify_time,metric_time
undirected4.edgelist,undirected,kols,0.2,9,8,8,1.0,True,True,32.0,32.0,0.0,1.0,0.0,1.0,2390.0,2390.0,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,0.00015500000154133886,0.0005114480009069666
undirected4.edgelist,undirected,random,0.2,9,8,8,1.0,True,True,32.0,32.0,0.0,1.0,0.0,1.0,2390.0,2390.0,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,4.8962003347696736e-05,0.0004789459999301471
undirected4.edgelist,undirected,k_neighbor,0.2,9,8,6,0.75,True,False,32.0,inf,0.6666666666666666,1.0,0.0,1.0,2390.0,2363.0,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,0.7777777777777778,0.1111111111111111,0.1111111111111111,,,0.00011518100291141309,0.00041921699812519364
undirected4.edgelist,undirected,local_degree,0.2,9,8,8,1.0,True,True,32.0,32.0,0.0,1.0,0.0,1.0,2390.0,2390.0,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,9.977899753721431e-05,0.0005771520009147935
undirected4.edgelist,undirected,mst,0.2,9,8,8,1.0,True,True,32.0,32.0,0.0,1.0,0.0,1.0,2390.0,2390.0,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,9.640400094212964e-05,0.0004935090000799391
undirected4.edgelist,undirected,t_spanner,0.2,9,8,8,1.0,True,True,32.0,32.0,0.0,1.0,0.0,1.0,2390.0,2390.0,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,0.0001554929986014031,0.0006135289986559656
undirected5.edgelist,undirected,original,0.2,6,5,,1.0,True,True,28.0,28.0,0.0,1.0,0.0,1.0,826.0,826.0,0.3333333333333333,0.6666666666666666,,,,,0.3333333333333333,0.6666666666666666,,,,,0.0005294910006341524
undirected5.edgelist,undirected,kols,0.2,6,5,5,1.0,True,True,28.0,28.0,0.0,1.0,0.0,1.0,826.0,826.0,0.3333333333333333,0.6666666666666666,,,,,0.3333333333333333,0.6666666666666666,,,,0.00010166599895455875,0.0003646459990704898
undirected5.edgelist,undirected,random,0.2,6,5,5,1.0,True,True,28.0,28.0,0.0,1.0,0.0,1.0,826.0,826.0,0.3333333333333333,0.6666666666666666,,,,,0.3333333333333333,0.6666666666666666,,,,3.8540998502867296e-05,0.00033167199944728054
undirected5.edgelist,undirected,k_neighbor,0.2,6,5,5,1.0,True,True,28.0,28.0,0.0,1.0,0.0,1.0,826.0,826.0,0.3333333333333333,0.6666666666666666,,,,,0.3333333333333333,0.6666666666666666,,,,0.00016954300008364953,0.00031406899870489724
undirected5.edgelist,undirected,local_degree,0.2,6,5,5,1.0,True,True,28.0,28.0,0.0,1.0,0.0,1.0,826.0,826.0,0.3333333333333333,0.6666666666666666,,,,,0.3333333333333333,0.6666666666666666,,,,0.00010441399717819877,0.00032960599855869077
undirected5.edgelist,undirected,mst,0.2,6,5,5,1.0,True,True,28.0,28.0,0.0,1.0,0.0,1.0,826.0,826.0,0.3333333333333333,0.6666666666666666,,,,,0.3333333333333333,0.6666666666666666,,,,6.734100315952674e-05,0.00034483000126783736
undirected5.edgelist,undirected,t_spanner,0.2,6,5,5,1.0,True,True,28.0,28.0,0.0,1.0,0.0,1.0,826.0,826.0,0.3333333333333333,0.6666666666666666,,,,,0.3333333333333333,0.6666666666666666,,,,9.518800288788043e-05,0.0003389169978618156
