graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_in_0,degree_distribution_original_in_1,degree_distribution_original_in_2,degree_distribution_original_in_3,degree_distribution_original_in_4,degree_distribution_original_out_1,degree_distribution_original_out_2,degree_distribution_original_out_3,degree_distribution_original_out_4,degree_distribution_original_out_5,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_in_0,degree_distribution_sparsified_in_1,degree_distribution_sparsified_in_2,degree_distribution_sparsified_in_3,degree_distribution_sparsified_in_4,degree_distribution_sparsified_in_5,degree_distribution_sparsified_out_0,degree_distribution_sparsified_out_1,degree_distribution_sparsified_out_2,degree_distribution_sparsified_out_3,degree_distribution_sparsified_out_4,degree_distribution_sparsified_out_5,sparsify_time,metric_time
directed3.edgelist,directed,kols,0.2,9,10,8,0.8,True,True,inf,inf,1.0,inf,inf,inf,2262.0,1943.0,,0.8888888888888888,0.1111111111111111,,,0.8888888888888888,0.1111111111111111,,,,,,,,,0.1111111111111111,0.8888888888888888,,,,,0.2222222222222222,0.6666666666666666,0.1111111111111111,,,,7.793899999342102e-05,0.00039491899997301516
directed3.edgelist,directed,random,0.2,9,10,9,0.9,True,True,inf,inf,1.0,inf,inf,inf,2262.0,1821.0,,0.8888888888888888,0.1111111111111111,,,0.8888888888888888,0.1111111111111111,,,,,,,,,0.1111111111111111,0.7777777777777778,0.1111111111111111,,,,0.1111111111111111,0.7777777777777778,0.1111111111111111,,,,3.360000005159236e-05,0.00039152800002284494
directed3.edgelist,directed,k_neighbor,0.2,9,10,7,0.7,True,False,inf,inf,0.5,inf,inf,inf,2262.0,1433.0,,0.8888888888888888,0.1111111111111111,,,0.8888888888888888,0.1111111111111111,,,,0.4444444444444444,0.5555555555555556,,,,,,,,,,,,,,,,0.00015982499996880506,0.00032891399996515247
directed3.edgelist,directed,local_degree,0.2,9,10,9,0.9,True,True,inf,inf,1.0,inf,inf,inf,2262.0,2262.0,,0.8888888888888888,0.1111111111111111,,,0.8888888888888888,0.1111111111111111,,,,,,,,,0.1111111111111111,0.7777777777777778,0.1111111111111111,,,,,1.0,,,,,0.00010706099999424623,0.00037133600005745393
directed3.edgelist,directed,mst,0.2,9,10,8,0.8,True,True,inf,37.0,0.0,inf,inf,inf,2262.0,1962.0,,0.8888888888888888,0.1111111111111111,,,0.8888888888888888,0.1111111111111111,,,,0.3333333333333333,0.5555555555555556,0.1111111111111111,,,,,,,,,,,,,,,8.331800006544654e-05,0.00041450699995948526
directed3.edgelist,directed,t_spanner,0.2,9,10,18,1.8,True,True,inf,inf,1.0,inf,inf,inf,2262.0,2262.0,,0.8888888888888888,0.1111111111111111,,,0.8888888888888888,0.1111111111111111,,,,,,,,,,0.1111111111111111,0.7777777777777778,0.1111111111111111,,,,0.1111111111111111,0.7777777777777778,0.1111111111111111,,,0.0001665490000277714,0.000432849999924656
directed4.edgelist,directed,original,0.2,8,8,,1.0,True,True,inf,inf,1.0,inf,inf,inf,1552.0,1552.0,0.125,0.75,0.125,,,1.0,,,,,,,,,,0.125,0.75,0.125,,,,,1.0,,,,,,0.0005103849999841259
directed4.edgelist,directed,kols,0.2,8,8,7,0.875,True,False,inf,inf,1.0,inf,inf,inf,1552.0,1179.0,0.125,0.75,0.125,,,1.0,,,,,,,,,,0.25,0.625,0.125,,,,0.125,0.875,,,,,9.307899995292246e-05,0.0008614000000761735
directed4.edgelist,directed,random,0.2,8,8,8,1.0,True,True,inf,inf,1.0,inf,inf,inf,1552.0,1552.0,0.125,0.75,0.125,,,1.0,,,,,,,,,,0.125,0.75,0.125,,,,,1.0,,,,,3.503400000681722e-05,0.0003087620000314928
directed4.edgelist,directed,k_neighbor,0.2,8,8,5,0.625,True,False,inf,inf,0.7142857142857143,inf,inf,inf,1552.0,1313.0,0.125,0.75,0.125,,,1.0,,,,,0.75,0.25,,,,,,,,,,,,,,,,0.00010082099993269367,0.00024317299994436326
directed4.edgelist,directed,local_degree,0.2,8,8,8,1.0,True,True,inf,inf,1.0,inf,inf,inf,1552.0,1552.0,0.125,0.75,0.125,,,1.0,,,,,,,,,,0.125,0.75,0.125,,,,,1.0,,,,,5.8330999991085264e-05,0.0003987559999814039
directed4.edgelist,directed,mst,0.2,8,8,7,0.875,True,True,inf,27.0,0.0,inf,inf,inf,1552.0,1542.0,0.125,0.75,0.125,,,1.0,,,,,0.25,0.75,,,,,,,,,,,,,,,,8.05009999567119e-05,0.0002771590000065771
directed4.edgelist,directed,t_spanner,0.2,8,8,16,2.0,True,True,inf,inf,1.0,inf,inf,inf,1552.0,1552.0,0.125,0.75,0.125,,,1.0,,,,,,,,,,,0.125,0.75,0.125,,,,0.125,0.75,0.125,,,0.0001402159999770447,0.0003645610000830857
directed5.edgelist,directed,original,0.2,10,30,,1.0,True,True,inf,inf,1.0,inf,inf,inf,65066.0,65066.0,,,0.1,0.8,0.1,,0.3,0.5,0.1,0.1,,,,,,,,0.1,0.8,0.1,,,,0.3,0.5,0.1,0.1,,0.0009392200000775119
directed5.edgelist,directed,kols,0.2,10,30,9,0.3,True,True,inf,inf,1.0,inf,inf,inf,65066.0,8175.0,,,0.1,0.8,0.1,,0.3,0.5,0.1,0.1,,,,,,0.1,0.9,,,,,0.5,0.2,0.2,0.1,,,0.00013379899996834865,0.00056747999997242
directed5.edgelist,directed,random,0.2,10,30,27,0.9,True,True,inf,inf,1.0,inf,inf,inf,65066.0,62086.0,,,0.1,0.8,0.1,,0.3,0.5,0.1,0.1,,,,,,,,0.4,0.5,0.1,,,0.1,0.4,0.3,0.1,0.1,5.697599999621161e-05,0.0007206489999589394
directed5.edgelist,directed,k_neighbor,0.2,10,30,8,0.26666666666666666,True,False,inf,inf,0.5333333333333333,inf,inf,inf,65066.0,17316.0,,,0.1,0.8,0.1,,0.3,0.5,0.1,0.1,0.5,0.4,0.1,,,,,,,,,,,,,,,0.0001846339999929114,0.0004949389999637788
directed5.edgelist,directed,local_degree,0.2,10,30,10,0.3333333333333333,True,True,inf,inf,1.0,inf,inf,inf,65066.0,37822.0,,,0.1,0.8,0.1,,0.3,0.5,0.1,0.1,,,,,,0.5,0.1,0.3,0.1,,,,1.0,,,,,0.00012936799998897186,0.0005728400000180045
directed5.edgelist,directed,mst,0.2,10,30,9,0.3,True,True,inf,19.0,0.0,inf,inf,inf,65066.0,7613.0,,,0.1,0.8,0.1,,0.3,0.5,0.1,0.1,0.5,0.3,0.1,0.1,,,,,,,,,,,,,,0.00015328799997860187,0.0005182849999982864
directed5.edgelist,directed,t_spanner,0.2,10,30,22,0.7333333333333333,True,True,inf,inf,1.0,inf,inf,inf,65066.0,12095.0,,,0.1,0.8,0.1,,0.3,0.5,0.1,0.1,,,,,,,0.2,0.5,0.2,0.1,,,0.2,0.5,0.2,0.1,,0.0003383780000376646,0.0006614879999915502
