graph_family,method,rho,n,m_og,m_sparse,edges_ratio,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_1,degree_distribution_original_2,degree_distribution_original_3,degree_distribution_original_4,degree_distribution_original_5,degree_distribution_original_6,degree_distribution_original_7,degree_distribution_original_8,degree_distribution_sparsified_0,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,degree_distribution_sparsified_7,degree_distribution_sparsified_8,sparsify_time,metric_time
bipartite,k_neighbor,0.2,22.6,33.0,18.7,0.5901013457982767,58.75940000000001,inf,0.624406896734216,2.099991285969472,23.725263071894794,40.08491376858292,148138.48451975558,110552.0061417416,0.16024038180619202,0.31060654721658776,0.2893908233791601,0.1562948876868755,0.09910761239361641,0.061114867402899835,0.04501915708812255,0.0277777777777777,,0.538965611148674,0.324600142739088,0.11183015926677183,0.0545657726692209,0.0277777777777777,,,,0.0011016421000931199,0.00144268079984607
bipartite,kols,0.2,22.6,33.0,21.6,0.6933402364898529,58.75940000000001,76.556,0.0,1.2553303369193327,0.2116702640895749,4.00330511241153,148138.48451975558,81937.9392223859,0.16024038180619202,0.31060654721658776,0.2893908233791601,0.1562948876868755,0.09910761239361641,0.061114867402899835,0.04501915708812255,0.0277777777777777,,0.4032128502742093,0.3573712530989407,0.1801582337916009,0.08068555008210178,0.0277777777777777,,,,0.00043630009977273,0.0018977658997754998
bipartite,local_degree,0.2,22.6,33.0,20.7,0.6634667635575564,58.75940000000001,inf,0.3324245701196699,1.59504127912833,13.132204105625979,37.61372155134439,148138.48451975558,120070.30729494251,0.16024038180619202,0.31060654721658776,0.2893908233791601,0.1562948876868755,0.09910761239361641,0.061114867402899835,0.04501915708812255,0.0277777777777777,,0.5683083539929381,0.24488702952445346,0.09450031928480201,0.07155371966794377,0.07350217864923746,0.05185560814364056,0.03113026819923365,0.0277777777777777,0.00019158349987260002,0.0016291851000459702
bipartite,mst,0.2,22.6,33.0,21.6,0.6933402364898529,58.75940000000001,76.556,0.0,1.2553303369193327,0.2116702640895749,4.00330511241153,148138.48451975558,81937.93922238589,0.16024038180619202,0.31060654721658776,0.2893908233791601,0.1562948876868755,0.09910761239361641,0.061114867402899835,0.04501915708812255,0.0277777777777777,,0.4032128502742093,0.3573712530989407,0.1801582337916009,0.08068555008210178,0.0277777777777777,,,,0.00014459720014199583,0.00185262869981665
bipartite,original,0.2,22.6,33.0,,1.0,58.75940000000001,58.75940000000001,0.0,1.0,0.0,1.0,148138.48451975558,148138.48451975558,0.16024038180619202,0.31060654721658776,0.2893908233791601,0.1562948876868755,0.09910761239361641,0.061114867402899835,0.04501915708812255,0.0277777777777777,,0.16024038180619202,0.31060654721658776,0.2893908233791601,0.1562948876868755,0.09910761239361641,0.061114867402899835,0.04501915708812255,0.0277777777777777,,0.0023641258000679298
bipartite,random,0.2,22.6,33.0,7.0,0.2157769709687868,58.75940000000001,inf,0.9431185091810159,1.5683929912833514,27.728769111250664,8.098772631436454,148138.48451975558,31737.297899249796,0.16024038180619202,0.31060654721658776,0.2893908233791601,0.1562948876868755,0.09910761239361641,0.061114867402899835,0.04501915708812255,0.0277777777777777,0.5150299564270153,0.3753397565922921,0.1107783662634913,0.0330991911451681,,,,,,6.045290019756067e-05,0.00123600969982358
bipartite,t_spanner,0.2,22.6,33.0,26.0,0.8151832133481751,58.75940000000001,60.9697,0.0,1.0481638887488018,0.016064599306768408,1.7328090716896447,148138.48451975558,102724.6529082139,0.16024038180619202,0.31060654721658776,0.2893908233791601,0.1562948876868755,0.09910761239361641,0.061114867402899835,0.04501915708812255,0.0277777777777777,,0.24451487491548343,0.41289966944632256,0.21202971226804895,0.11720485980684309,0.0626784238599654,,,,0.0005516074000297001,0.00191040870004139
