graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_1,degree_distribution_original_2,degree_distribution_original_3,degree_distribution_original_4,degree_distribution_original_5,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,sparsify_time,metric_time
bipartite3.edgelist,bipartite,t_spanner,0.2,10,14,11,0.7857142857142857,True,True,24.0,25.0,0.0,1.0135390113460292,0.0018430550107182608,1.25,3330.0,3128.0,,0.3,0.6,0.1,,0.2,0.5,0.2,0.1,,0.0004746709998926235,0.0011132069998893712
bipartite4.edgelist,bipartite,original,0.2,10,9,,1.0,True,True,38.0,38.0,0.0,1.0,0.0,1.0,518.0,518.0,0.3,0.6,0.1,,,0.3,0.6,0.1,,,,0.001014231999988624
bipartite4.edgelist,bipartite,kols,0.2,10,9,9,1.0,True,True,38.0,38.0,0.0,1.0,0.0,1.0,518.0,518.0,0.3,0.6,0.1,,,0.3,0.6,0.1,,,0.00037622700006068044,0.0011421120000250085
bipartite4.edgelist,bipartite,random,0.2,10,9,9,1.0,True,True,38.0,38.0,0.0,1.0,0.0,1.0,518.0,518.0,0.3,0.6,0.1,,,0.3,0.6,0.1,,,0.00026591499999994994,0.000906862000192632
bipartite4.edgelist,bipartite,k_neighbor,0.2,10,9,7,0.7777777777777778,True,False,38.0,inf,0.6222222222222222,1.0,0.0,1.0,518.0,395.0,0.3,0.6,0.1,,,0.6,0.4,,,,0.0002709210000375606,0.0007678080000914633
bipartite4.edgelist,bipartite,local_degree,0.2,10,9,8,0.8888888888888888,True,False,38.0,inf,0.5555555555555556,1.0,0.0,1.0,518.0,515.0,0.3,0.6,0.1,,,0.5,0.4,0.1,,,0.0002062910000404372,0.0008258900002147129
bipartite4.edgelist,bipartite,mst,0.2,10,9,9,1.0,True,True,38.0,38.0,0.0,1.0,0.0,1.0,518.0,518.0,0.3,0.6,0.1,,,0.3,0.6,0.1,,,0.00019461799979580974,0.001292687999921327
bipartite4.edgelist,bipartite,t_spanner,0.2,10,9,9,1.0,True,True,38.0,38.0,0.0,1.0,0.0,1.0,518.0,518.0,0.3,0.6,0.1,,,0.3,0.6,0.1,,,0.0006594720000521193,0.0027705900001819828
bipartite5.edgelist,bipartite,original,0.2,10,20,,1.0,True,True,15.0,15.0,0.0,1.0,0.0,1.0,13160.0,13160.0,,,0.3,0.4,0.3,,,0.3,0.4,0.3,,0.0017912040000283014
bipartite5.edgelist,bipartite,kols,0.2,10,20,9,0.45,True,True,15.0,27.0,0.0,3.572653457653458,16.246080990484476,22.0,13160.0,5585.0,,,0.3,0.4,0.3,0.7,0.1,,0.1,0.1,0.0009614069999770436,0.0018529890000991145
bipartite5.edgelist,bipartite,random,0.2,10,20,17,0.85,True,True,15.0,19.0,0.0,1.4087149270482604,1.518121633343032,9.0,13160.0,12797.0,,,0.3,0.4,0.3,,0.2,0.3,0.4,0.1,0.00015127100004974636,0.0013981239999338868
bipartite5.edgelist,bipartite,k_neighbor,0.2,10,20,7,0.35,True,False,15.0,inf,0.6888888888888889,1.7100468975468974,0.5931593731194651,3.1666666666666665,13160.0,5066.0,,,0.3,0.4,0.3,0.6,0.4,,,,0.000320653000017046,0.0009677020000253833
bipartite5.edgelist,bipartite,local_degree,0.2,10,20,9,0.45,True,True,15.0,19.0,0.0,1.9011134544467878,4.111343138777849,12.0,13160.0,3288.0,,,0.3,0.4,0.3,0.8,,,,0.2,0.0002564789999723871,0.0010795020000387012
bipartite5.edgelist,bipartite,mst,0.2,10,20,9,0.45,True,True,15.0,21.0,0.0,1.2290761090761095,0.09010927976657813,2.111111111111111,13160.0,4961.0,,,0.3,0.4,0.3,0.4,0.4,0.2,,,0.00023505500007559021,0.0012173730001450167
bipartite5.edgelist,bipartite,t_spanner,0.2,10,20,10,0.5,True,True,15.0,21.0,0.0,1.1786726853393523,0.06938619675000895,2.0,13160.0,5690.0,,,0.3,0.4,0.3,0.2,0.6,0.2,,,0.0005127619999711897,0.0011355970000295201
