graph_family,method,rho,n,m_og,m_sparse,edges_ratio,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_in_0,degree_distribution_original_in_1,degree_distribution_original_in_10,degree_distribution_original_in_11,degree_distribution_original_in_12,degree_distribution_original_in_13,degree_distribution_original_in_14,degree_distribution_original_in_15,degree_distribution_original_in_16,degree_distribution_original_in_17,degree_distribution_original_in_18,degree_distribution_original_in_2,degree_distribution_original_in_3,degree_distribution_original_in_4,degree_distribution_original_in_5,degree_distribution_original_in_6,degree_distribution_original_in_7,degree_distribution_original_in_8,degree_distribution_original_in_9,degree_distribution_original_out_0,degree_distribution_original_out_1,degree_distribution_original_out_10,degree_distribution_original_out_11,degree_distribution_original_out_12,degree_distribution_original_out_13,degree_distribution_original_out_14,degree_distribution_original_out_15,degree_distribution_original_out_16,degree_distribution_original_out_2,degree_distribution_original_out_3,degree_distribution_original_out_4,degree_distribution_original_out_5,degree_distribution_original_out_6,degree_distribution_original_out_7,degree_distribution_original_out_8,degree_distribution_original_out_9,degree_distribution_sparsified_1,degree_distribution_sparsified_10,degree_distribution_sparsified_11,degree_distribution_sparsified_12,degree_distribution_sparsified_13,degree_distribution_sparsified_14,degree_distribution_sparsified_15,degree_distribution_sparsified_16,degree_distribution_sparsified_17,degree_distribution_sparsified_18,degree_distribution_sparsified_2,degree_distribution_sparsified_21,degree_distribution_sparsified_23,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,degree_distribution_sparsified_7,degree_distribution_sparsified_8,degree_distribution_sparsified_9,degree_distribution_sparsified_in_0,degree_distribution_sparsified_in_1,degree_distribution_sparsified_in_10,degree_distribution_sparsified_in_11,degree_distribution_sparsified_in_12,degree_distribution_sparsified_in_13,degree_distribution_sparsified_in_14,degree_distribution_sparsified_in_15,degree_distribution_sparsified_in_16,degree_distribution_sparsified_in_17,degree_distribution_sparsified_in_18,degree_distribution_sparsified_in_19,degree_distribution_sparsified_in_2,degree_distribution_sparsified_in_20,degree_distribution_sparsified_in_21,degree_distribution_sparsified_in_23,degree_distribution_sparsified_in_3,degree_distribution_sparsified_in_4,degree_distribution_sparsified_in_5,degree_distribution_sparsified_in_6,degree_distribution_sparsified_in_7,degree_distribution_sparsified_in_8,degree_distribution_sparsified_in_9,degree_distribution_sparsified_out_0,degree_distribution_sparsified_out_1,degree_distribution_sparsified_out_10,degree_distribution_sparsified_out_11,degree_distribution_sparsified_out_12,degree_distribution_sparsified_out_13,degree_distribution_sparsified_out_14,degree_distribution_sparsified_out_15,degree_distribution_sparsified_out_16,degree_distribution_sparsified_out_17,degree_distribution_sparsified_out_18,degree_distribution_sparsified_out_19,degree_distribution_sparsified_out_2,degree_distribution_sparsified_out_20,degree_distribution_sparsified_out_21,degree_distribution_sparsified_out_23,degree_distribution_sparsified_out_3,degree_distribution_sparsified_out_4,degree_distribution_sparsified_out_5,degree_distribution_sparsified_out_6,degree_distribution_sparsified_out_7,degree_distribution_sparsified_out_8,degree_distribution_sparsified_out_9,sparsify_time,metric_time
unweighted,k_neighbor,0.2,63.24,429.48,60.12,0.17155394181742734,inf,inf,0.5143534969192749,inf,inf,inf,9922.96,1466.44,0.021431828545371602,0.0870428367459278,0.07491874435994625,0.04921397958124689,0.040281150429653724,0.04486700585226145,0.026409812674593698,0.015865799213916742,0.01710028856426035,0.010752688172043,0.0113636363636363,0.08300564910186238,0.08000725151893985,0.11297734290030294,0.11680623652980686,0.1427069867235402,0.12121560628595035,0.12095389895804845,0.0978513148491596,0.02545520133771295,0.07408601554908628,0.08702403266444086,0.054808306192370176,0.04115087013791062,0.03192324574152655,0.030619036026018415,0.0208325983580652,0.0114942528735632,0.10360775699954973,0.09513997593683628,0.11287894870044834,0.13427906736717612,0.11513057355127802,0.1354847548622002,0.11669837469052302,0.10051034393658051,0.38264914803319433,,,,,,,,,,0.39562008565025736,,,0.17257740086281229,0.046909382958378334,0.015000951751872825,0.0149553571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005102894239997752,0.02533944027999832
unweighted,kols,0.2,63.24,429.48,87.36,0.21971815992676585,inf,inf,1.0,inf,inf,inf,9922.96,2060.2,0.021431828545371602,0.0870428367459278,0.07491874435994625,0.04921397958124689,0.040281150429653724,0.04486700585226145,0.026409812674593698,0.015865799213916742,0.01710028856426035,0.010752688172043,0.0113636363636363,0.08300564910186238,0.08000725151893985,0.11297734290030294,0.11680623652980686,0.1427069867235402,0.12121560628595035,0.12095389895804845,0.0978513148491596,0.02545520133771295,0.07408601554908628,0.08702403266444086,0.054808306192370176,0.04115087013791062,0.03192324574152655,0.030619036026018415,0.0208325983580652,0.0114942528735632,0.10360775699954973,0.09513997593683628,0.11287894870044834,0.13427906736717612,0.11513057355127802,0.1354847548622002,0.11669837469052302,0.10051034393658051,,,,,,,,,,,,,,,,,,,,,0.02096935514255131,0.7366705503251701,,,,,,,,,,,0.2504309176568934,,,,0.07937604157782771,0.0206178157889891,0.011203525803080832,,,,,0.5805441663698018,0.15627804835468148,0.018734446841012213,0.012549441754195851,0.011432471009754676,0.014716999587778633,0.0114942528735632,,,,,,0.08404068569942642,,,,0.04614344308899561,0.03999893580036735,0.03087746526903478,0.03091828519017339,0.02669084080422314,0.024405338408700565,0.0195941288214696,0.0009322150799971039,0.0269731866000006
unweighted,local_degree,0.2,63.24,429.48,63.0,0.17992020873535272,inf,inf,1.0,inf,inf,inf,9922.96,2660.24,0.021431828545371602,0.0870428367459278,0.07491874435994625,0.04921397958124689,0.040281150429653724,0.04486700585226145,0.026409812674593698,0.015865799213916742,0.01710028856426035,0.010752688172043,0.0113636363636363,0.08300564910186238,0.08000725151893985,0.11297734290030294,0.11680623652980686,0.1427069867235402,0.12121560628595035,0.12095389895804845,0.0978513148491596,0.02545520133771295,0.07408601554908628,0.08702403266444086,0.054808306192370176,0.04115087013791062,0.03192324574152655,0.030619036026018415,0.0208325983580652,0.0114942528735632,0.10360775699954973,0.09513997593683628,0.11287894870044834,0.13427906736717612,0.11513057355127802,0.1354847548622002,0.11669837469052302,0.10051034393658051,,,,,,,,,,,,,,,,,,,,,0.6863466662065123,0.12406888399485819,0.020344033207891368,0.013449538945567826,0.012860425420041061,,0.012594704535618801,0.012889983579638699,0.012198611502017,,,,0.061301500029103034,,,,0.044497980202631474,0.02947501790131938,0.02931569883477616,0.020951596346807374,0.017795622071248046,0.017345560556583355,0.01983736722409373,0.02545520133771295,0.9938907516789489,,,,,,,,,,,,,,,,,,,,,,0.000761255200000016,0.02146249211999811
unweighted,mst,0.2,63.24,429.48,62.24,0.17802094723885822,inf,7.72,0.0,inf,inf,inf,9922.96,1649.6,0.021431828545371602,0.0870428367459278,0.07491874435994625,0.04921397958124689,0.040281150429653724,0.04486700585226145,0.026409812674593698,0.015865799213916742,0.01710028856426035,0.010752688172043,0.0113636363636363,0.08300564910186238,0.08000725151893985,0.11297734290030294,0.11680623652980686,0.1427069867235402,0.12121560628595035,0.12095389895804845,0.0978513148491596,0.02545520133771295,0.07408601554908628,0.08702403266444086,0.054808306192370176,0.04115087013791062,0.03192324574152655,0.030619036026018415,0.0208325983580652,0.0114942528735632,0.10360775699954973,0.09513997593683628,0.11287894870044834,0.13427906736717612,0.11513057355127802,0.1354847548622002,0.11669837469052302,0.10051034393658051,0.7521638258136878,0.019437627899936312,0.017080556903931825,0.017633760548992957,0.013203682286471988,0.015212406015037561,0.012609100692601186,0.013591800356506166,0.012878229503436733,0.0123456790123456,0.08530430731081344,0.0114942528735632,0.0105263157894736,0.049091503855051975,0.026620588134275,0.026834902632512276,0.0294207062702071,0.02289402195800375,0.016374352864801347,0.019994174414818468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001637830239999344,0.026922320879998504
unweighted,original,0.2,63.24,429.48,,1.0,inf,inf,1.0,inf,inf,inf,9922.96,9922.96,0.021431828545371602,0.0870428367459278,0.07491874435994625,0.04921397958124689,0.040281150429653724,0.04486700585226145,0.026409812674593698,0.015865799213916742,0.01710028856426035,0.010752688172043,0.0113636363636363,0.08300564910186238,0.08000725151893985,0.11297734290030294,0.11680623652980686,0.1427069867235402,0.12121560628595035,0.12095389895804845,0.0978513148491596,0.02545520133771295,0.07408601554908628,0.08702403266444086,0.054808306192370176,0.04115087013791062,0.03192324574152655,0.030619036026018415,0.0208325983580652,0.0114942528735632,0.10360775699954973,0.09513997593683628,0.11287894870044834,0.13427906736717612,0.11513057355127802,0.1354847548622002,0.11669837469052302,0.10051034393658051,,,,,,,,,,,,,,,,,,,,,0.021431828545371602,0.0870428367459278,0.07491874435994625,0.04921397958124689,0.040281150429653724,0.04486700585226145,0.026409812674593698,0.015865799213916742,0.01710028856426035,0.010752688172043,0.0113636363636363,,0.08300564910186238,,,,0.08000725151893985,0.11297734290030294,0.11680623652980686,0.1427069867235402,0.12121560628595035,0.12095389895804845,0.0978513148491596,0.02545520133771295,0.07408601554908628,0.08702403266444086,0.054808306192370176,0.04115087013791062,0.03192324574152655,0.030619036026018415,0.0208325983580652,0.0114942528735632,,,,0.10360775699954973,,,,0.09513997593683628,0.11287894870044834,0.13427906736717612,0.11513057355127802,0.1354847548622002,0.11669837469052302,0.10051034393658051,,0.04560835047999939
unweighted,random,0.2,63.24,429.48,345.36,0.8034535411270401,inf,inf,1.0,inf,inf,inf,9922.96,8038.6,0.021431828545371602,0.0870428367459278,0.07491874435994625,0.04921397958124689,0.040281150429653724,0.04486700585226145,0.026409812674593698,0.015865799213916742,0.01710028856426035,0.010752688172043,0.0113636363636363,0.08300564910186238,0.08000725151893985,0.11297734290030294,0.11680623652980686,0.1427069867235402,0.12121560628595035,0.12095389895804845,0.0978513148491596,0.02545520133771295,0.07408601554908628,0.08702403266444086,0.054808306192370176,0.04115087013791062,0.03192324574152655,0.030619036026018415,0.0208325983580652,0.0114942528735632,0.10360775699954973,0.09513997593683628,0.11287894870044834,0.13427906736717612,0.11513057355127802,0.1354847548622002,0.11669837469052302,0.10051034393658051,,,,,,,,,,,,,,,,,,,,,0.0360210659134252,0.09840132392464976,0.045700867021282836,0.03715063173703478,0.02170643925418898,0.01870382591798193,0.0195550838063416,,,,,,0.10575789557622307,,,,0.1202285138250932,0.1588412615037374,0.14253441086630794,0.13195764637605115,0.11951372696532633,0.09033961141980897,0.06336674138545495,0.03323235752193973,0.08017120223702814,0.04149127259093615,0.028514433336212,0.0269815371379853,0.013315696649029901,0.012102094316250334,,,,,,0.11669008802814954,,,,0.13606624457191555,0.13403579243975922,0.1682197573290977,0.13266784877227975,0.12176781945379811,0.08037092555767894,0.07753461161736237,0.0006250437200014281,0.04493417791999941
unweighted,t_spanner,0.2,63.24,429.48,536.88,1.3045845321435499,inf,inf,1.0,inf,inf,inf,9922.96,6514.52,0.021431828545371602,0.0870428367459278,0.07491874435994625,0.04921397958124689,0.040281150429653724,0.04486700585226145,0.026409812674593698,0.015865799213916742,0.01710028856426035,0.010752688172043,0.0113636363636363,0.08300564910186238,0.08000725151893985,0.11297734290030294,0.11680623652980686,0.1427069867235402,0.12121560628595035,0.12095389895804845,0.0978513148491596,0.02545520133771295,0.07408601554908628,0.08702403266444086,0.054808306192370176,0.04115087013791062,0.03192324574152655,0.030619036026018415,0.0208325983580652,0.0114942528735632,0.10360775699954973,0.09513997593683628,0.11287894870044834,0.13427906736717612,0.11513057355127802,0.1354847548622002,0.11669837469052302,0.10051034393658051,,,,,,,,,,,,,,,,,,,,,,,0.09407538768466811,0.08439569570886421,0.05308870686659986,0.051215822119246024,0.02993839769771823,0.024992466785659816,0.01882831190575366,0.020322867344572688,0.0165428918565932,0.0223018717642373,0.10225761605415859,0.0123456790123456,0.0114942528735632,0.01094497607655495,0.10465554957894892,0.08348637497258282,0.0996012931735841,0.11721394648945452,0.15554236764845672,0.13804490087107155,0.12406897598692343,,,0.09407538768466811,0.08439569570886421,0.05308870686659986,0.051215822119246024,0.02993839769771823,0.024992466785659816,0.01882831190575366,0.020322867344572688,0.0165428918565932,0.0223018717642373,0.10225761605415859,0.0123456790123456,0.0114942528735632,0.01094497607655495,0.10465554957894892,0.08348637497258282,0.0996012931735841,0.11721394648945452,0.15554236764845672,0.13804490087107155,0.12406897598692343,0.0468092469600037,0.04568058919999766
