graph_family,method,rho,n,m_og,m_sparse,edges_ratio,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_in_0,degree_distribution_original_in_1,degree_distribution_original_in_2,degree_distribution_original_in_3,degree_distribution_original_in_4,degree_distribution_original_in_5,degree_distribution_original_out_0,degree_distribution_original_out_1,degree_distribution_original_out_2,degree_distribution_original_out_3,degree_distribution_original_out_4,degree_distribution_original_out_5,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,degree_distribution_sparsified_in_0,degree_distribution_sparsified_in_1,degree_distribution_sparsified_in_2,degree_distribution_sparsified_in_3,degree_distribution_sparsified_in_4,degree_distribution_sparsified_in_5,degree_distribution_sparsified_in_6,degree_distribution_sparsified_out_0,degree_distribution_sparsified_out_1,degree_distribution_sparsified_out_2,degree_distribution_sparsified_out_3,degree_distribution_sparsified_out_4,degree_distribution_sparsified_out_5,degree_distribution_sparsified_out_6,sparsify_time,metric_time
unweighted,k_neighbor,0.2,11.1,16.1,9.3,0.6247471201325157,inf,inf,0.43932831702181546,inf,inf,inf,69.3,47.7,0.19102182539682538,0.4828299916457811,0.2732711408150005,0.12645303735529298,0.0774157616262879,0.0666666666666666,0.19749970163503996,0.4909189640768588,0.29007008261394224,0.1538046505151768,0.054093567251461944,0.0666666666666666,0.49604427736006684,0.43123549614777684,0.15107560568086884,0.06349206349206345,0.125,,,,,,,,,,,,,,,,0.0006296659998042299,0.0005044035001446499
unweighted,kols,0.2,11.1,16.1,10.1,0.6679181732173618,inf,inf,1.0,inf,inf,inf,69.3,48.1,0.19102182539682538,0.4828299916457811,0.2732711408150005,0.12645303735529298,0.0774157616262879,0.0666666666666666,0.19749970163503996,0.4909189640768588,0.29007008261394224,0.1538046505151768,0.054093567251461944,0.0666666666666666,,,,,,,0.31212406015037597,0.5258563074352548,0.151097651536248,0.0645502645502645,,0.0666666666666666,,0.3228989139515455,0.5017773600668337,0.17968880534670006,0.08769841269841266,0.0526315789473684,,,0.00024508559999954,0.00052740360006278
unweighted,local_degree,0.2,11.1,16.1,9.5,0.6518265034492214,inf,inf,1.0,inf,inf,inf,69.3,37.8,0.19102182539682538,0.4828299916457811,0.2732711408150005,0.12645303735529298,0.0774157616262879,0.0666666666666666,0.19749970163503996,0.4909189640768588,0.29007008261394224,0.1538046505151768,0.054093567251461944,0.0666666666666666,,,,,,,0.4515350877192982,0.33165831244778615,0.1662828947368421,0.11846978557504872,0.06349206349206345,,,0.19749970163503996,0.8617502088554719,,,,,,8.591860023442297e-05,0.00048614580018689
unweighted,mst,0.2,11.1,16.1,10.1,0.6679181732173618,inf,5.5,0.0,inf,inf,inf,69.3,48.1,0.19102182539682538,0.4828299916457811,0.2732711408150005,0.12645303735529298,0.0774157616262879,0.0666666666666666,0.19749970163503996,0.4909189640768588,0.29007008261394224,0.1538046505151768,0.054093567251461944,0.0666666666666666,0.5400271512113617,0.29721177944862154,0.17283486494012806,0.10555555555555553,0.0958333333333333,0.0526315789473684,,,,,,,,,,,,,,,0.0001278971998544632,0.00056758970031292
unweighted,original,0.2,11.1,16.1,,1.0,inf,inf,1.0,inf,inf,inf,69.3,69.3,0.19102182539682538,0.4828299916457811,0.2732711408150005,0.12645303735529298,0.0774157616262879,0.0666666666666666,0.19749970163503996,0.4909189640768588,0.29007008261394224,0.1538046505151768,0.054093567251461944,0.0666666666666666,,,,,,,0.19102182539682538,0.4828299916457811,0.2732711408150005,0.12645303735529298,0.0774157616262879,0.0666666666666666,,0.19749970163503996,0.4909189640768588,0.29007008261394224,0.1538046505151768,0.054093567251461944,0.0666666666666666,,,0.0006914754998433101
unweighted,random,0.2,11.1,16.1,3.5,0.20781414044598626,inf,inf,1.0,inf,inf,inf,69.3,13.5,0.19102182539682538,0.4828299916457811,0.2732711408150005,0.12645303735529298,0.0774157616262879,0.0666666666666666,0.19749970163503996,0.4909189640768588,0.29007008261394224,0.1538046505151768,0.054093567251461944,0.0666666666666666,,,,,,,0.7337531328320802,0.2440246449456976,0.07407407407407403,,,,,0.7379051796157059,0.2357205513784461,0.08791423001949317,,,,,3.856460016322671e-05,0.00050654160013432
unweighted,t_spanner,0.2,11.1,16.1,27.0,1.62921452561412,inf,inf,1.0,inf,inf,inf,69.3,61.3,0.19102182539682538,0.4828299916457811,0.2732711408150005,0.12645303735529298,0.0774157616262879,0.0666666666666666,0.19749970163503996,0.4909189640768588,0.29007008261394224,0.1538046505151768,0.054093567251461944,0.0666666666666666,,,,,,,,0.35956326000185646,0.32874315418175065,0.28972895200965376,0.12975494291283762,0.10365497076023389,0.054093567251461944,,0.35956326000185646,0.32874315418175065,0.28972895200965376,0.12975494291283762,0.10365497076023389,0.054093567251461944,0.00033852900005508,0.0007430766000652001
