graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_1,degree_distribution_original_10,degree_distribution_original_11,degree_distribution_original_12,degree_distribution_original_13,degree_distribution_original_14,degree_distribution_original_15,degree_distribution_original_16,degree_distribution_original_17,degree_distribution_original_18,degree_distribution_original_19,degree_distribution_original_2,degree_distribution_original_20,degree_distribution_original_3,degree_distribution_original_4,degree_distribution_original_5,degree_distribution_original_6,degree_distribution_original_7,degree_distribution_original_8,degree_distribution_original_9,degree_distribution_sparsified_0,degree_distribution_sparsified_1,degree_distribution_sparsified_10,degree_distribution_sparsified_11,degree_distribution_sparsified_12,degree_distribution_sparsified_13,degree_distribution_sparsified_14,degree_distribution_sparsified_15,degree_distribution_sparsified_16,degree_distribution_sparsified_17,degree_distribution_sparsified_18,degree_distribution_sparsified_19,degree_distribution_sparsified_2,degree_distribution_sparsified_20,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,degree_distribution_sparsified_7,degree_distribution_sparsified_8,degree_distribution_sparsified_9,sparsify_time,metric_time
undirected1.edgelist,undirected,original,0.2,95,463,,1.0,True,True,25.722,25.722,0.0,1.0,0.0,1.0,14523478.047990266,14523478.047990266,,0.14736842105263157,0.10526315789473684,0.1368421052631579,0.042105263157894736,0.05263157894736842,0.021052631578947368,0.021052631578947368,,0.010526315789473684,0.010526315789473684,,,,0.031578947368421054,0.05263157894736842,0.07368421052631578,0.09473684210526316,0.14736842105263157,0.05263157894736842,,,0.14736842105263157,0.10526315789473684,0.1368421052631579,0.042105263157894736,0.05263157894736842,0.021052631578947368,0.021052631578947368,,0.010526315789473684,0.010526315789473684,,,,0.031578947368421054,0.05263157894736842,0.07368421052631578,0.09473684210526316,0.14736842105263157,0.05263157894736842,,0.06043809400000555
undirected1.edgelist,undirected,kols,0.2,95,463,94,0.20302375809935205,True,True,25.722,39.954,0.0,1.4365717395085784,0.27262418861523946,5.81125748502994,14523478.047990266,627079.7732808031,,0.14736842105263157,0.10526315789473684,0.1368421052631579,0.042105263157894736,0.05263157894736842,0.021052631578947368,0.021052631578947368,,0.010526315789473684,0.010526315789473684,,,,0.031578947368421054,0.05263157894736842,0.07368421052631578,0.09473684210526316,0.14736842105263157,0.05263157894736842,,0.47368421052631576,,,,,,,,,,,0.25263157894736843,,0.14736842105263157,0.08421052631578947,0.031578947368421054,0.010526315789473684,,,,0.0024624389999985397,0.042459316999980956
undirected1.edgelist,undirected,random,0.2,95,463,103,0.2224622030237581,True,False,25.722,inf,0.32721164613661813,6.303376146390771,142.24260174138323,509.4086538461539,14523478.047990266,3665563.871035316,,0.14736842105263157,0.10526315789473684,0.1368421052631579,0.042105263157894736,0.05263157894736842,0.021052631578947368,0.021052631578947368,,0.010526315789473684,0.010526315789473684,,,,0.031578947368421054,0.05263157894736842,0.07368421052631578,0.09473684210526316,0.14736842105263157,0.05263157894736842,0.15789473684210525,0.18947368421052632,,,,,,,,,,,0.22105263157894736,,0.24210526315789474,0.14736842105263157,0.031578947368421054,0.010526315789473684,,,,0.0003979260000050999,0.03937356299999806
undirected1.edgelist,undirected,k_neighbor,0.2,95,463,91,0.19654427645788336,True,False,25.722,inf,0.5352743561030235,12.60761959334715,268.7825725806208,437.9395973154363,14523478.047990266,4552856.808298803,,0.14736842105263157,0.10526315789473684,0.1368421052631579,0.042105263157894736,0.05263157894736842,0.021052631578947368,0.021052631578947368,,0.010526315789473684,0.010526315789473684,,,,0.031578947368421054,0.05263157894736842,0.07368421052631578,0.09473684210526316,0.14736842105263157,0.05263157894736842,,0.43157894736842106,,,,,,,,,,,0.3473684210526316,,0.1368421052631579,0.06315789473684211,,0.021052631578947368,,,,0.00478696499999387,0.035929229999993595
undirected1.edgelist,undirected,local_degree,0.2,95,463,92,0.19870410367170627,True,False,25.722,inf,0.6680851063829787,2.7861823216004487,7.517393544496643,68.07885304659497,14523478.047990266,7642515.297543097,,0.14736842105263157,0.10526315789473684,0.1368421052631579,0.042105263157894736,0.05263157894736842,0.021052631578947368,0.021052631578947368,,0.010526315789473684,0.010526315789473684,,,,0.031578947368421054,0.05263157894736842,0.07368421052631578,0.09473684210526316,0.14736842105263157,0.05263157894736842,,0.7789473684210526,,,0.010526315789473684,,,0.010526315789473684,,,,0.010526315789473684,0.08421052631578947,,0.021052631578947368,0.031578947368421054,0.031578947368421054,0.010526315789473684,,,0.010526315789473684,0.0010701629999800844,0.034694384999994554
undirected1.edgelist,undirected,mst,0.2,95,463,94,0.20302375809935205,True,True,25.722,39.954,0.0,1.4365717395085784,0.27262418861523946,5.81125748502994,14523478.047990266,627079.7732808031,,0.14736842105263157,0.10526315789473684,0.1368421052631579,0.042105263157894736,0.05263157894736842,0.021052631578947368,0.021052631578947368,,0.010526315789473684,0.010526315789473684,,,,0.031578947368421054,0.05263157894736842,0.07368421052631578,0.09473684210526316,0.14736842105263157,0.05263157894736842,,0.47368421052631576,,,,,,,,,,,0.25263157894736843,,0.14736842105263157,0.08421052631578947,0.031578947368421054,0.010526315789473684,,,,0.0009671169999876383,0.04310672599999066
undirected1.edgelist,undirected,t_spanner,0.2,95,463,137,0.2958963282937365,True,True,25.722,32.812,0.0,1.0803508089087772,0.022624289665100886,1.9951350036487474,14523478.047990266,1187876.7034314522,,0.14736842105263157,0.10526315789473684,0.1368421052631579,0.042105263157894736,0.05263157894736842,0.021052631578947368,0.021052631578947368,,0.010526315789473684,0.010526315789473684,,,,0.031578947368421054,0.05263157894736842,0.07368421052631578,0.09473684210526316,0.14736842105263157,0.05263157894736842,,0.12631578947368421,,,,,,,,,,,0.3684210526315789,,0.2,0.16842105263157894,0.08421052631578947,0.042105263157894736,0.010526315789473684,,,0.02409001800000965,0.04572596300002374
undirected10.edgelist,undirected,original,0.2,66,203,,1.0,True,True,35.597,35.597,0.0,1.0,0.0,1.0,3673529.310742728,3673529.310742728,,0.045454545454545456,0.015151515151515152,,,,,,,,,0.09090909090909091,,0.06060606060606061,0.12121212121212122,0.12121212121212122,0.13636363636363635,0.15151515151515152,0.12121212121212122,0.13636363636363635,,,0.045454545454545456,0.015151515151515152,,,,,,,,,0.09090909090909091,,0.06060606060606061,0.12121212121212122,0.12121212121212122,0.13636363636363635,0.15151515151515152,0.12121212121212122,0.13636363636363635,,0.02082297100000119
undirected10.edgelist,undirected,kols,0.2,66,203,65,0.32019704433497537,True,True,35.597,73.30600000000001,0.0,1.6553335655220769,0.5385362037055514,7.04635761589404,3673529.310742728,486955.7431918439,,0.045454545454545456,0.015151515151515152,,,,,,,,,0.09090909090909091,,0.06060606060606061,0.12121212121212122,0.12121212121212122,0.13636363636363635,0.15151515151515152,0.12121212121212122,0.13636363636363635,,0.4090909090909091,,,,,,,,,,,0.3333333333333333,,0.15151515151515152,0.09090909090909091,0.015151515151515152,,,,,0.001224036000024853,0.01602904199998534
undirected10.edgelist,undirected,random,0.2,66,203,48,0.23645320197044334,True,False,35.597,inf,0.8372960372960373,2.9639166364357634,7.463771011311031,27.117003079028397,3673529.310742728,843604.7269233736,,0.045454545454545456,0.015151515151515152,,,,,,,,,0.09090909090909091,,0.06060606060606061,0.12121212121212122,0.12121212121212122,0.13636363636363635,0.15151515151515152,0.12121212121212122,0.13636363636363635,0.19696969696969696,0.3181818181818182,,,,,,,,,,,0.3484848484848485,,0.10606060606060606,0.030303030303030304,,,,,,0.00018105399999512883,0.01148629200000073
