graph_family,method,rho,n,m_og,m_sparse,edges_ratio,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_1,degree_distribution_original_10,degree_distribution_original_11,degree_distribution_original_12,degree_distribution_original_13,degree_distribution_original_14,degree_distribution_original_15,degree_distribution_original_16,degree_distribution_original_17,degree_distribution_original_18,degree_distribution_original_2,degree_distribution_original_3,degree_distribution_original_4,degree_distribution_original_5,degree_distribution_original_6,degree_distribution_original_7,degree_distribution_original_8,degree_distribution_original_9,degree_distribution_sparsified_0,degree_distribution_sparsified_1,degree_distribution_sparsified_10,degree_distribution_sparsified_11,degree_distribution_sparsified_12,degree_distribution_sparsified_13,degree_distribution_sparsified_14,degree_distribution_sparsified_15,degree_distribution_sparsified_16,degree_distribution_sparsified_17,degree_distribution_sparsified_18,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,degree_distribution_sparsified_7,degree_distribution_sparsified_8,degree_distribution_sparsified_9,sparsify_time,metric_time
bipartite,k_neighbor,0.2,64.04,206.44,58.0,0.3220661627990725,41.93412,inf,0.7211881120060216,5.1641205891920015,322.96660651735783,258.5315539053592,5262340.664584884,2001393.2515288314,0.052971585280019565,0.06304156714393162,0.054121159555882564,0.04424281836457092,0.03266098121502631,0.02613489760589759,0.01286435433968405,0.0165943205345379,0.013997699393236867,0.0123456790123456,0.10084944123382922,0.12845491889109278,0.11955044083885985,0.13047637689891217,0.1277657543922074,0.11323282137206835,0.08642546505130712,0.07271201750732155,,0.4984761041079196,,,,,,,,,,0.2987951428334457,0.12660880368675972,0.05925442211771465,0.02554064950228026,0.01873200190016045,0.0192307692307692,0.0172413793103448,,0.000509115240000104,0.010993393239998523
bipartite,kols,0.2,64.04,206.44,63.04,0.35095665058716835,41.93412,64.8,0.0,2.137088357630521,29.11830069192523,134.09887306847997,5262340.664584884,1272035.5743006002,0.052971585280019565,0.06304156714393162,0.054121159555882564,0.04424281836457092,0.03266098121502631,0.02613489760589759,0.01286435433968405,0.0165943205345379,0.013997699393236867,0.0123456790123456,0.10084944123382922,0.12845491889109278,0.11955044083885985,0.13047637689891217,0.1277657543922074,0.11323282137206835,0.08642546505130712,0.07271201750732155,,0.6478591403298555,0.0154968904159004,0.012285553952220574,0.016992521997428227,0.01312872975277065,0.01531631520532735,,,,,0.1362907204061017,0.07815001208305279,0.047119641256012076,0.038592441038015755,0.02349045446574013,0.022182382650612106,0.01805577333398741,0.01878196022880709,0.00048869340000062,0.014190167799999875
bipartite,local_degree,0.2,64.04,206.44,62.24,0.3437668187594573,41.93412,inf,0.2695133461413942,3.303741537807578,41.94584572593907,157.5827606298792,5262340.664584884,2692323.91197425,0.052971585280019565,0.06304156714393162,0.054121159555882564,0.04424281836457092,0.03266098121502631,0.02613489760589759,0.01286435433968405,0.0165943205345379,0.013997699393236867,0.0123456790123456,0.10084944123382922,0.12845491889109278,0.11955044083885985,0.13047637689891217,0.1277657543922074,0.11323282137206835,0.08642546505130712,0.07271201750732155,,0.7269185936314702,0.018498104935006962,0.01674514737833407,0.014992312495147538,0.01480457295169905,0.013845524745086974,0.0112359550561797,0.012965838509316768,0.013997699393236867,0.0123456790123456,0.10545681411805533,0.05140060350708407,0.031108120208521484,0.026518306514005913,0.020660146619470212,0.02449750783228105,0.016455478880143627,0.01506049454060163,0.000512896879999356,0.013417112839999237
bipartite,mst,0.2,64.04,206.44,63.04,0.35095665058716835,41.93412,69.01592000000001,0.0,1.5070897974930453,0.3983802204322215,5.9923972338210225,5262340.664584884,701760.707793498,0.052971585280019565,0.06304156714393162,0.054121159555882564,0.04424281836457092,0.03266098121502631,0.02613489760589759,0.01286435433968405,0.0165943205345379,0.013997699393236867,0.0123456790123456,0.10084944123382922,0.12845491889109278,0.11955044083885985,0.13047637689891217,0.1277657543922074,0.11323282137206835,0.08642546505130712,0.07271201750732155,,0.4551641223370116,,,,,,,,,,0.2922515668746536,0.13926845418550823,0.07578110837436465,0.02771799057091085,0.02489418262584897,0.01580603140182735,0.0192307692307692,,0.000430178519999864,0.01432473428000032
bipartite,original,0.2,64.04,206.44,,1.0,41.93412,41.93412,0.0,1.0,0.0,1.0,5262340.664584884,5262340.664584884,0.052971585280019565,0.06304156714393162,0.054121159555882564,0.04424281836457092,0.03266098121502631,0.02613489760589759,0.01286435433968405,0.0165943205345379,0.013997699393236867,0.0123456790123456,0.10084944123382922,0.12845491889109278,0.11955044083885985,0.13047637689891217,0.1277657543922074,0.11323282137206835,0.08642546505130712,0.07271201750732155,,0.052971585280019565,0.06304156714393162,0.054121159555882564,0.04424281836457092,0.03266098121502631,0.02613489760589759,0.01286435433968405,0.0165943205345379,0.013997699393236867,0.0123456790123456,0.10084944123382922,0.12845491889109278,0.11955044083885985,0.13047637689891217,0.1277657543922074,0.11323282137206835,0.08642546505130712,0.07271201750732155,,0.019368482599999716
bipartite,random,0.2,64.04,206.44,163.96,0.7985023224985123,41.93412,inf,0.027078529533023244,1.4297098445760401,9.207691332942053,77.78714766579337,5262340.664584884,4167645.448884702,0.052971585280019565,0.06304156714393162,0.054121159555882564,0.04424281836457092,0.03266098121502631,0.02613489760589759,0.01286435433968405,0.0165943205345379,0.013997699393236867,0.0123456790123456,0.10084944123382922,0.12845491889109278,0.11955044083885985,0.13047637689891217,0.1277657543922074,0.11323282137206835,0.08642546505130712,0.07271201750732155,0.0342392684610224,0.07994375797514403,0.042583321754607974,0.02390539239227541,0.024807643796560475,0.016031063918002762,0.0124124846347068,,,,,0.13063224553347466,0.15461973158618578,0.13556055739507078,0.14541583846635853,0.12430656737552293,0.09212393691778789,0.07261172752762222,0.05677979647310327,0.00024119104000072802,0.017438492119999247
bipartite,t_spanner,0.2,64.04,206.44,88.96,0.48366960876262793,41.93412,46.680479999999996,0.0,1.0770897441812688,0.02309235675493429,1.9645302002985232,5262340.664584884,1230715.5854115235,0.052971585280019565,0.06304156714393162,0.054121159555882564,0.04424281836457092,0.03266098121502631,0.02613489760589759,0.01286435433968405,0.0165943205345379,0.013997699393236867,0.0123456790123456,0.10084944123382922,0.12845491889109278,0.11955044083885985,0.13047637689891217,0.1277657543922074,0.11323282137206835,0.08642546505130712,0.07271201750732155,,0.19029014113953147,0.027027027027027,,,,,,,,,0.31002102335746945,0.249087620641578,0.14100382956077753,0.06474083681780403,0.03745146071579829,0.025944971900710583,0.017026263181633337,,0.006255855560000848,0.015272461359999686
