graph_family,method,rho,n,m_og,m_sparse,edges_ratio,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_1,degree_distribution_original_2,degree_distribution_original_3,degree_distribution_original_4,degree_distribution_original_5,degree_distribution_original_6,degree_distribution_original_7,degree_distribution_original_8,degree_distribution_sparsified_0,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,degree_distribution_sparsified_7,degree_distribution_sparsified_8,sparsify_time,metric_time,family,degree_distribution_original_in_0,degree_distribution_original_in_1,degree_distribution_original_in_2,degree_distribution_original_in_3,degree_distribution_original_in_4,degree_distribution_original_out_0,degree_distribution_original_out_1,degree_distribution_original_out_2,degree_distribution_original_out_3,degree_distribution_original_out_4,degree_distribution_sparsified_in_0,degree_distribution_sparsified_in_1,degree_distribution_sparsified_in_2,degree_distribution_sparsified_in_3,degree_distribution_sparsified_in_4,degree_distribution_sparsified_in_5,degree_distribution_sparsified_out_0,degree_distribution_sparsified_out_1,degree_distribution_sparsified_out_2,degree_distribution_sparsified_out_3,degree_distribution_sparsified_out_4,degree_distribution_sparsified_out_5,degree_distribution_original_in_5,degree_distribution_original_out_5,degree_distribution_original_out_6,degree_distribution_sparsified_out_6,degree_distribution_sparsified_in_6
bipartite,k_neighbor,0.2,22.6,33.0,18.7,0.5901013457982767,58.75940000000001,inf,0.624406896734216,2.099991285969472,23.725263071894798,40.08491376858292,148138.48451975558,110552.0061417416,0.160240381806192,0.3106065472165877,0.2893908233791601,0.1562948876868755,0.0991076123936164,0.0611148674028998,0.0450191570881225,0.0277777777777777,,0.538965611148674,0.324600142739088,0.1118301592667718,0.0545657726692209,0.0277777777777777,,,,0.0011016421000931,0.001442680799846,bipartite,,,,,,,,,,,,,,,,,,,,,,,,,,,
bipartite,kols,0.2,22.6,33.0,21.6,0.6933402364898529,58.75940000000001,76.556,0.0,1.2553303369193327,0.2116702640895749,4.00330511241153,148138.48451975558,81937.9392223859,0.160240381806192,0.3106065472165877,0.2893908233791601,0.1562948876868755,0.0991076123936164,0.0611148674028998,0.0450191570881225,0.0277777777777777,,0.4032128502742093,0.3573712530989407,0.1801582337916009,0.0806855500821017,0.0277777777777777,,,,0.0004363000997727,0.0018977658997754,bipartite,,,,,,,,,,,,,,,,,,,,,,,,,,,
bipartite,local_degree,0.2,22.6,33.0,20.7,0.6634667635575564,58.75940000000001,inf,0.3324245701196699,1.59504127912833,13.13220410562598,37.61372155134439,148138.48451975558,120070.30729494253,0.160240381806192,0.3106065472165877,0.2893908233791601,0.1562948876868755,0.0991076123936164,0.0611148674028998,0.0450191570881225,0.0277777777777777,,0.5683083539929381,0.2448870295244534,0.094500319284802,0.0715537196679437,0.0735021786492374,0.0518556081436405,0.0311302681992336,0.0277777777777777,0.0001915834998726,0.0016291851000459,bipartite,,,,,,,,,,,,,,,,,,,,,,,,,,,
bipartite,mst,0.2,22.6,33.0,21.6,0.6933402364898529,58.75940000000001,76.556,0.0,1.2553303369193327,0.2116702640895749,4.00330511241153,148138.48451975558,81937.93922238589,0.160240381806192,0.3106065472165877,0.2893908233791601,0.1562948876868755,0.0991076123936164,0.0611148674028998,0.0450191570881225,0.0277777777777777,,0.4032128502742093,0.3573712530989407,0.1801582337916009,0.0806855500821017,0.0277777777777777,,,,0.0001445972001419,0.0018526286998166,bipartite,,,,,,,,,,,,,,,,,,,,,,,,,,,
bipartite,original,0.2,22.6,33.0,,1.0,58.75940000000001,58.75940000000001,0.0,1.0,0.0,1.0,148138.48451975558,148138.48451975558,0.160240381806192,0.3106065472165877,0.2893908233791601,0.1562948876868755,0.0991076123936164,0.0611148674028998,0.0450191570881225,0.0277777777777777,,0.160240381806192,0.3106065472165877,0.2893908233791601,0.1562948876868755,0.0991076123936164,0.0611148674028998,0.0450191570881225,0.0277777777777777,,0.0023641258000679,bipartite,,,,,,,,,,,,,,,,,,,,,,,,,,,
bipartite,random,0.2,22.6,33.0,7.0,0.2157769709687868,58.75940000000001,inf,0.943118509181016,1.5683929912833514,27.728769111250664,8.098772631436454,148138.48451975558,31737.2978992498,0.160240381806192,0.3106065472165877,0.2893908233791601,0.1562948876868755,0.0991076123936164,0.0611148674028998,0.0450191570881225,0.0277777777777777,0.5150299564270153,0.3753397565922921,0.1107783662634913,0.0330991911451681,,,,,,6.045290019756067e-05,0.0012360096998235,bipartite,,,,,,,,,,,,,,,,,,,,,,,,,,,
bipartite,t_spanner,0.2,22.6,33.0,26.0,0.8151832133481751,58.75940000000001,60.9697,0.0,1.0481638887488018,0.0160645993067684,1.7328090716896447,148138.48451975558,102724.6529082139,0.160240381806192,0.3106065472165877,0.2893908233791601,0.1562948876868755,0.0991076123936164,0.0611148674028998,0.0450191570881225,0.0277777777777777,,0.2445148749154834,0.4128996694463225,0.2120297122680489,0.117204859806843,0.0626784238599654,,,,0.0005516074000297,0.0019104087000413,bipartite,,,,,,,,,,,,,,,,,,,,,,,,,,,
directed,k_neighbor,0.2,10.1,14.5,7.8,0.6195729044305894,inf,inf,0.530735294117647,inf,inf,inf,58082.4723036355,38595.83350294115,,,,,,,,,,0.638916263475087,0.2811149308208131,0.1252970885323826,0.0866013071895424,,,,,0.0005696660999091,0.0004537775997959,directed,0.2099220496279319,0.5461128087598676,0.2000087913953459,0.189245395127748,0.1231325863678804,0.2731262201850437,0.3978575672693319,0.2664610625394938,0.1866225277989983,0.0773420479302832,,,,,,,,,,,,,,,,,
directed,kols,0.2,10.1,14.5,9.1,0.7593867905585173,inf,inf,1.0,inf,inf,inf,58082.4723036355,31961.08882267361,,,,,,,,,,,,,,,,,,0.000232285200127,0.000468143099988,directed,0.2099220496279319,0.5461128087598676,0.2000087913953459,0.189245395127748,0.1231325863678804,0.2731262201850437,0.3978575672693319,0.2664610625394938,0.1866225277989983,0.0773420479302832,0.2763986503692385,0.6002841439606146,0.1887700534759358,0.0964405964405964,,,0.3346653509888804,0.4724656226126814,0.1946910750832319,0.088235294117647,,,,,,,
directed,local_degree,0.2,10.1,14.5,8.0,0.6442882744495647,inf,inf,1.0,inf,inf,inf,58082.4723036355,33237.825614220594,,,,,,,,,,,,,,,,,,8.08829001471057e-05,0.000501850099863,directed,0.2099220496279319,0.5461128087598676,0.2000087913953459,0.189245395127748,0.1231325863678804,0.2731262201850437,0.3978575672693319,0.2664610625394938,0.1866225277989983,0.0773420479302832,0.4751160767337238,0.3793222137339784,0.1459076054664289,0.0807338086749851,0.085745409274821,,0.2731262201850437,0.7541864018334606,,,,,,,,,
