graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_in_0,degree_distribution_original_in_1,degree_distribution_original_in_10,degree_distribution_original_in_11,degree_distribution_original_in_12,degree_distribution_original_in_13,degree_distribution_original_in_14,degree_distribution_original_in_15,degree_distribution_original_in_16,degree_distribution_original_in_17,degree_distribution_original_in_18,degree_distribution_original_in_2,degree_distribution_original_in_20,degree_distribution_original_in_3,degree_distribution_original_in_4,degree_distribution_original_in_5,degree_distribution_original_in_6,degree_distribution_original_in_7,degree_distribution_original_in_8,degree_distribution_original_in_9,degree_distribution_original_out_0,degree_distribution_original_out_1,degree_distribution_original_out_10,degree_distribution_original_out_11,degree_distribution_original_out_12,degree_distribution_original_out_13,degree_distribution_original_out_14,degree_distribution_original_out_15,degree_distribution_original_out_16,degree_distribution_original_out_17,degree_distribution_original_out_18,degree_distribution_original_out_19,degree_distribution_original_out_2,degree_distribution_original_out_3,degree_distribution_original_out_4,degree_distribution_original_out_5,degree_distribution_original_out_6,degree_distribution_original_out_7,degree_distribution_original_out_8,degree_distribution_original_out_9,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,degree_distribution_sparsified_7,degree_distribution_sparsified_in_0,degree_distribution_sparsified_in_1,degree_distribution_sparsified_in_10,degree_distribution_sparsified_in_11,degree_distribution_sparsified_in_12,degree_distribution_sparsified_in_13,degree_distribution_sparsified_in_14,degree_distribution_sparsified_in_15,degree_distribution_sparsified_in_16,degree_distribution_sparsified_in_17,degree_distribution_sparsified_in_18,degree_distribution_sparsified_in_2,degree_distribution_sparsified_in_20,degree_distribution_sparsified_in_3,degree_distribution_sparsified_in_4,degree_distribution_sparsified_in_5,degree_distribution_sparsified_in_6,degree_distribution_sparsified_in_7,degree_distribution_sparsified_in_8,degree_distribution_sparsified_in_9,degree_distribution_sparsified_out_0,degree_distribution_sparsified_out_1,degree_distribution_sparsified_out_10,degree_distribution_sparsified_out_11,degree_distribution_sparsified_out_12,degree_distribution_sparsified_out_13,degree_distribution_sparsified_out_14,degree_distribution_sparsified_out_15,degree_distribution_sparsified_out_16,degree_distribution_sparsified_out_17,degree_distribution_sparsified_out_18,degree_distribution_sparsified_out_19,degree_distribution_sparsified_out_2,degree_distribution_sparsified_out_3,degree_distribution_sparsified_out_4,degree_distribution_sparsified_out_5,degree_distribution_sparsified_out_6,degree_distribution_sparsified_out_7,degree_distribution_sparsified_out_8,degree_distribution_sparsified_out_9,sparsify_time,metric_time
directed20.edgelist,directed,random,0.2,94,878,712,0.8109339407744874,True,True,inf,inf,1.0,inf,inf,inf,41778065.0598443,32554772.782198563,,,0.14893617021276595,0.09574468085106383,0.07446808510638298,0.06382978723404255,0.02127659574468085,0.010638297872340425,0.02127659574468085,0.010638297872340425,0.010638297872340425,,,,0.0425531914893617,0.031914893617021274,0.09574468085106383,0.11702127659574468,0.11702127659574468,0.13829787234042554,,,0.05319148936170213,0.06382978723404255,0.07446808510638298,0.02127659574468085,0.11702127659574468,0.031914893617021274,,0.031914893617021274,,,0.010638297872340425,0.02127659574468085,0.031914893617021274,0.02127659574468085,0.13829787234042554,0.0851063829787234,0.14893617021276595,0.14893617021276595,,,,,,,,,,0.06382978723404255,0.06382978723404255,0.031914893617021274,0.02127659574468085,0.010638297872340425,0.010638297872340425,,,,0.02127659574468085,,0.02127659574468085,0.10638297872340426,0.06382978723404255,0.14893617021276595,0.1276595744680851,0.14893617021276595,0.1595744680851064,,0.010638297872340425,0.06382978723404255,0.0851063829787234,0.05319148936170213,0.02127659574468085,0.010638297872340425,0.010638297872340425,,,,,0.02127659574468085,0.02127659574468085,0.10638297872340426,0.06382978723404255,0.1702127659574468,0.09574468085106383,0.1702127659574468,0.09574468085106383,0.0009568040004523937,0.07847418599885714
directed20.edgelist,directed,k_neighbor,0.2,94,878,91,0.10364464692482915,True,False,inf,inf,0.21619766643788607,inf,inf,inf,41778065.0598443,7242802.890067578,,,0.14893617021276595,0.09574468085106383,0.07446808510638298,0.06382978723404255,0.02127659574468085,0.010638297872340425,0.02127659574468085,0.010638297872340425,0.010638297872340425,,,,0.0425531914893617,0.031914893617021274,0.09574468085106383,0.11702127659574468,0.11702127659574468,0.13829787234042554,,,0.05319148936170213,0.06382978723404255,0.07446808510638298,0.02127659574468085,0.11702127659574468,0.031914893617021274,,0.031914893617021274,,,0.010638297872340425,0.02127659574468085,0.031914893617021274,0.02127659574468085,0.13829787234042554,0.0851063829787234,0.14893617021276595,0.14893617021276595,0.425531914893617,0.3829787234042553,0.07446808510638298,0.07446808510638298,0.031914893617021274,0.010638297872340425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025856350002868567,0.05174103500030469
directed20.edgelist,directed,local_degree,0.2,94,878,94,0.1070615034168565,True,True,inf,inf,1.0,inf,inf,inf,41778065.0598443,9984924.402259123,,,0.14893617021276595,0.09574468085106383,0.07446808510638298,0.06382978723404255,0.02127659574468085,0.010638297872340425,0.02127659574468085,0.010638297872340425,0.010638297872340425,,,,0.0425531914893617,0.031914893617021274,0.09574468085106383,0.11702127659574468,0.11702127659574468,0.13829787234042554,,,0.05319148936170213,0.06382978723404255,0.07446808510638298,0.02127659574468085,0.11702127659574468,0.031914893617021274,,0.031914893617021274,,,0.010638297872340425,0.02127659574468085,0.031914893617021274,0.02127659574468085,0.13829787234042554,0.0851063829787234,0.14893617021276595,0.14893617021276595,,,,,,,,0.7340425531914894,0.09574468085106383,,,,,,0.010638297872340425,,,0.010638297872340425,0.07446808510638298,,0.02127659574468085,,0.010638297872340425,0.02127659574468085,0.010638297872340425,0.010638297872340425,,,1.0,,,,,,,,,,,,,,,,,,,0.0009852509992924752,0.04542568100077915
directed20.edgelist,directed,mst,0.2,94,878,93,0.10592255125284739,True,True,inf,32.568000000000005,0.0,inf,inf,inf,41778065.0598443,639422.5361920394,,,0.14893617021276595,0.09574468085106383,0.07446808510638298,0.06382978723404255,0.02127659574468085,0.010638297872340425,0.02127659574468085,0.010638297872340425,0.010638297872340425,,,,0.0425531914893617,0.031914893617021274,0.09574468085106383,0.11702127659574468,0.11702127659574468,0.13829787234042554,,,0.05319148936170213,0.06382978723404255,0.07446808510638298,0.02127659574468085,0.11702127659574468,0.031914893617021274,,0.031914893617021274,,,0.010638297872340425,0.02127659574468085,0.031914893617021274,0.02127659574468085,0.13829787234042554,0.0851063829787234,0.14893617021276595,0.14893617021276595,0.40425531914893614,0.35106382978723405,0.1276595744680851,0.09574468085106383,0.02127659574468085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026264280004397733,0.05321436300073401
directed20.edgelist,directed,t_spanner,0.2,94,878,280,0.31890660592255127,True,True,inf,inf,1.0,inf,inf,inf,41778065.0598443,1389298.1974016624,,,0.14893617021276595,0.09574468085106383,0.07446808510638298,0.06382978723404255,0.02127659574468085,0.010638297872340425,0.02127659574468085,0.010638297872340425,0.010638297872340425,,,,0.0425531914893617,0.031914893617021274,0.09574468085106383,0.11702127659574468,0.11702127659574468,0.13829787234042554,,,0.05319148936170213,0.06382978723404255,0.07446808510638298,0.02127659574468085,0.11702127659574468,0.031914893617021274,,0.031914893617021274,,,0.010638297872340425,0.02127659574468085,0.031914893617021274,0.02127659574468085,0.13829787234042554,0.0851063829787234,0.14893617021276595,0.14893617021276595,,,,,,,,,0.13829787234042554,,,,,,,,,,0.2872340425531915,,0.23404255319148937,0.19148936170212766,0.09574468085106383,0.05319148936170213,,,,,0.13829787234042554,,,,,,,,,,,0.2872340425531915,0.23404255319148937,0.19148936170212766,0.09574468085106383,0.05319148936170213,,,,0.048081248000016785,0.06449455199981458
directed21.edgelist,directed,original,0.2,73,513,,1.0,True,True,inf,inf,1.0,inf,inf,inf,17945093.930007324,17945093.930007324,,,0.0958904109589041,,0.0273972602739726,0.0273972602739726,,,,,,,,0.0410958904109589,0.0958904109589041,0.1506849315068493,0.2054794520547945,0.0684931506849315,0.1780821917808219,0.1095890410958904,,,0.0684931506849315,0.0547945205479452,0.0136986301369863,0.0273972602739726,,,,,,,,0.1095890410958904,0.0136986301369863,0.136986301369863,0.2191780821917808,0.136986301369863,0.0958904109589041,0.1232876712328767,,,,,,,,,,0.0958904109589041,,0.0273972602739726,0.0273972602739726,,,,,,,,0.0410958904109589,0.0958904109589041,0.1506849315068493,0.2054794520547945,0.0684931506849315,0.1780821917808219,0.1095890410958904,,,0.0684931506849315,0.0547945205479452,0.0136986301369863,0.0273972602739726,,,,,,,,0.1095890410958904,0.0136986301369863,0.136986301369863,0.2191780821917808,0.136986301369863,0.0958904109589041,0.1232876712328767,,0.04171485000006214
directed21.edgelist,directed,kols,0.2,73,513,102,0.19883040935672514,True,True,inf,inf,1.0,inf,inf,inf,17945093.930007324,1741059.836595,,,0.0958904109589041,,0.0273972602739726,0.0273972602739726,,,,,,,,0.0410958904109589,0.0958904109589041,0.1506849315068493,0.2054794520547945,0.0684931506849315,0.1780821917808219,0.1095890410958904,,,0.0684931506849315,0.0547945205479452,0.0136986301369863,0.0273972602739726,,,,,,,,0.1095890410958904,0.0136986301369863,0.136986301369863,0.2191780821917808,0.136986301369863,0.0958904109589041,0.1232876712328767,,,,,,,,0.0136986301369863,0.6027397260273972,,,,,,,,,,0.3561643835616438,,0.0273972602739726,,,,,,,0.4931506849315068,0.2328767123287671,,,,,,,,,,,0.0821917808219178,0.0547945205479452,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.0136986301369863,0.0136986301369863,0.0006762560005881824,0.07664225299959071
directed21.edgelist,directed,random,0.2,73,513,415,0.8089668615984406,True,True,inf,inf,1.0,inf,inf,inf,17945093.930007324,14962546.976126848,,,0.0958904109589041,,0.0273972602739726,0.0273972602739726,,,,,,,,0.0410958904109589,0.0958904109589041,0.1506849315068493,0.2054794520547945,0.0684931506849315,0.1780821917808219,0.1095890410958904,,,0.0684931506849315,0.0547945205479452,0.0136986301369863,0.0273972602739726,,,,,,,,0.1095890410958904,0.0136986301369863,0.136986301369863,0.2191780821917808,0.136986301369863,0.0958904109589041,0.1232876712328767,,,,,,,,,,0.0273972602739726,,0.0273972602739726,,,,,,,0.0410958904109589,,0.1506849315068493,0.1917808219178082,0.1232876712328767,0.136986301369863,0.1232876712328767,0.1232876712328767,0.0547945205479452,,,0.0273972602739726,0.0136986301369863,,,,,,,,,0.0684931506849315,0.1095890410958904,0.1232876712328767,0.2191780821917808,0.0821917808219178,0.2054794520547945,0.0821917808219178,0.0684931506849315,0.0005387080000218702,0.03707356099948811
directed21.edgelist,directed,k_neighbor,0.2,73,513,69,0.13450292397660818,True,False,inf,inf,0.7332572298325722,inf,inf,inf,17945093.930007324,3416602.592737544,,,0.0958904109589041,,0.0273972602739726,0.0273972602739726,,,,,,,,0.0410958904109589,0.0958904109589041,0.1506849315068493,0.2054794520547945,0.0684931506849315,0.1780821917808219,0.1095890410958904,,,0.0684931506849315,0.0547945205479452,0.0136986301369863,0.0273972602739726,,,,,,,,0.1095890410958904,0.0136986301369863,0.136986301369863,0.2191780821917808,0.136986301369863,0.0958904109589041,0.1232876712328767,0.410958904109589,0.3561643835616438,0.1780821917808219,0.0410958904109589,0.0136986301369863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015051320006023161,0.02272533100040164
directed21.edgelist,directed,local_degree,0.2,73,513,73,0.14230019493177387,True,False,inf,inf,1.0,inf,inf,inf,17945093.930007324,4791014.199871953,,,0.0958904109589041,,0.0273972602739726,0.0273972602739726,,,,,,,,0.0410958904109589,0.0958904109589041,0.1506849315068493,0.2054794520547945,0.0684931506849315,0.1780821917808219,0.1095890410958904,,,0.0684931506849315,0.0547945205479452,0.0136986301369863,0.0273972602739726,,,,,,,,0.1095890410958904,0.0136986301369863,0.136986301369863,0.2191780821917808,0.136986301369863,0.0958904109589041,0.1232876712328767,,,,,,,,0.7123287671232876,0.1232876712328767,,0.0136986301369863,,0.0136986301369863,,,,,,0.0273972602739726,,0.0547945205479452,,0.0410958904109589,,,,0.0136986301369863,,1.0,,,,,,,,,,,,,,,,,,,0.000614021000728826,0.021621910000249045
