graph,graph_family,method,rho,n,m_og,m_sparse,edges_ratio,connected_original,connected_sparsified,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_in_0,degree_distribution_original_in_1,degree_distribution_original_in_2,degree_distribution_original_in_3,degree_distribution_original_in_4,degree_distribution_original_in_5,degree_distribution_original_in_6,degree_distribution_original_in_7,degree_distribution_original_in_8,degree_distribution_original_in_9,degree_distribution_original_out_0,degree_distribution_original_out_1,degree_distribution_original_out_10,degree_distribution_original_out_2,degree_distribution_original_out_3,degree_distribution_original_out_4,degree_distribution_original_out_5,degree_distribution_original_out_6,degree_distribution_original_out_7,degree_distribution_original_out_8,degree_distribution_original_out_9,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_5,degree_distribution_sparsified_6,degree_distribution_sparsified_7,degree_distribution_sparsified_in_0,degree_distribution_sparsified_in_1,degree_distribution_sparsified_in_2,degree_distribution_sparsified_in_3,degree_distribution_sparsified_in_4,degree_distribution_sparsified_in_5,degree_distribution_sparsified_in_6,degree_distribution_sparsified_in_7,degree_distribution_sparsified_in_8,degree_distribution_sparsified_in_9,degree_distribution_sparsified_out_0,degree_distribution_sparsified_out_1,degree_distribution_sparsified_out_10,degree_distribution_sparsified_out_2,degree_distribution_sparsified_out_3,degree_distribution_sparsified_out_4,degree_distribution_sparsified_out_5,degree_distribution_sparsified_out_6,degree_distribution_sparsified_out_7,degree_distribution_sparsified_out_8,degree_distribution_sparsified_out_9,sparsify_time,metric_time
planar1.edgelist,planar,original,0.2,46,123,,1.0,True,True,inf,inf,1.0,inf,inf,inf,352023.6888463099,352023.6888463099,0.06521739130434782,0.17391304347826086,0.2608695652173913,0.30434782608695654,0.06521739130434782,0.06521739130434782,,0.043478260869565216,0.021739130434782608,,0.15217391304347827,0.15217391304347827,,0.15217391304347827,0.1956521739130435,0.1956521739130435,0.10869565217391304,0.021739130434782608,,0.021739130434782608,,,,,,,,,0.06521739130434782,0.17391304347826086,0.2608695652173913,0.30434782608695654,0.06521739130434782,0.06521739130434782,,0.043478260869565216,0.021739130434782608,,0.15217391304347827,0.15217391304347827,,0.15217391304347827,0.1956521739130435,0.1956521739130435,0.10869565217391304,0.021739130434782608,,0.021739130434782608,,,0.0031203380000022207
planar1.edgelist,planar,kols,0.2,46,123,45,0.36585365853658536,True,True,inf,inf,1.0,inf,inf,inf,352023.6888463099,54638.85468258599,0.06521739130434782,0.17391304347826086,0.2608695652173913,0.30434782608695654,0.06521739130434782,0.06521739130434782,,0.043478260869565216,0.021739130434782608,,0.15217391304347827,0.15217391304347827,,0.15217391304347827,0.1956521739130435,0.1956521739130435,0.10869565217391304,0.021739130434782608,,0.021739130434782608,,,,,,,,,0.391304347826087,0.32608695652173914,0.21739130434782608,0.043478260869565216,0.021739130434782608,,,,,,0.32608695652173914,0.45652173913043476,,0.17391304347826086,0.021739130434782608,,0.021739130434782608,,,,,0.0008630899999957364,0.0022825060000002395
planar1.edgelist,planar,random,0.2,46,123,27,0.21951219512195122,True,False,inf,inf,1.0,inf,inf,inf,352023.6888463099,78128.324521591,0.06521739130434782,0.17391304347826086,0.2608695652173913,0.30434782608695654,0.06521739130434782,0.06521739130434782,,0.043478260869565216,0.021739130434782608,,0.15217391304347827,0.15217391304347827,,0.15217391304347827,0.1956521739130435,0.1956521739130435,0.10869565217391304,0.021739130434782608,,0.021739130434782608,,,,,,,,,0.5652173913043478,0.34782608695652173,0.043478260869565216,0.021739130434782608,0.021739130434782608,,,,,,0.5652173913043478,0.2826086956521739,,0.15217391304347827,,,,,,,,0.00010375700000508914,0.002184720999991896
planar1.edgelist,planar,k_neighbor,0.2,46,123,41,0.3333333333333333,True,False,inf,inf,0.8077294685990338,inf,inf,inf,352023.6888463099,160181.086186962,0.06521739130434782,0.17391304347826086,0.2608695652173913,0.30434782608695654,0.06521739130434782,0.06521739130434782,,0.043478260869565216,0.021739130434782608,,0.15217391304347827,0.15217391304347827,,0.15217391304347827,0.1956521739130435,0.1956521739130435,0.10869565217391304,0.021739130434782608,,0.021739130434782608,,0.41304347826086957,0.391304347826087,0.1956521739130435,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032931070000188356,0.0022857529999953385
planar1.edgelist,planar,local_degree,0.2,46,123,39,0.3170731707317073,True,False,inf,inf,1.0,inf,inf,inf,352023.6888463099,182646.55371851896,0.06521739130434782,0.17391304347826086,0.2608695652173913,0.30434782608695654,0.06521739130434782,0.06521739130434782,,0.043478260869565216,0.021739130434782608,,0.15217391304347827,0.15217391304347827,,0.15217391304347827,0.1956521739130435,0.1956521739130435,0.10869565217391304,0.021739130434782608,,0.021739130434782608,,,,,,,,,0.5652173913043478,0.32608695652173914,0.021739130434782608,,0.043478260869565216,,,0.043478260869565216,,,0.15217391304347827,0.8478260869565217,,,,,,,,,,0.00030643199997371084,0.002117953999999145
planar1.edgelist,planar,mst,0.2,46,123,45,0.36585365853658536,True,True,inf,55.736000000000004,0.0,inf,inf,inf,352023.6888463099,54638.854682585996,0.06521739130434782,0.17391304347826086,0.2608695652173913,0.30434782608695654,0.06521739130434782,0.06521739130434782,,0.043478260869565216,0.021739130434782608,,0.15217391304347827,0.15217391304347827,,0.15217391304347827,0.1956521739130435,0.1956521739130435,0.10869565217391304,0.021739130434782608,,0.021739130434782608,,0.391304347826087,0.391304347826087,0.13043478260869565,0.06521739130434782,,0.021739130434782608,,,,,,,,,,,,,,,,,,,,,,,0.0005201679999800035,0.003734294999986787
planar1.edgelist,planar,t_spanner,0.2,46,123,104,0.8455284552845529,True,True,inf,inf,1.0,inf,inf,inf,352023.6888463099,66542.42674193399,0.06521739130434782,0.17391304347826086,0.2608695652173913,0.30434782608695654,0.06521739130434782,0.06521739130434782,,0.043478260869565216,0.021739130434782608,,0.15217391304347827,0.15217391304347827,,0.15217391304347827,0.1956521739130435,0.1956521739130435,0.10869565217391304,0.021739130434782608,,0.021739130434782608,,,,,,,,,,0.2608695652173913,0.3695652173913043,0.2608695652173913,0.08695652173913043,,0.021739130434782608,,,,,0.2608695652173913,,0.3695652173913043,0.2608695652173913,0.08695652173913043,,0.021739130434782608,,,,0.0023326809999844045,0.005657598999988522
planar10.edgelist,planar,original,0.2,90,258,,1.0,True,True,inf,inf,1.0,inf,inf,inf,1033457.2834799518,1033457.2834799518,0.07777777777777778,0.12222222222222222,0.25555555555555554,0.2222222222222222,0.14444444444444443,0.1111111111111111,0.03333333333333333,0.03333333333333333,,,0.12222222222222222,0.12222222222222222,,0.2,0.2111111111111111,0.15555555555555556,0.1,0.05555555555555555,0.022222222222222223,,0.011111111111111112,,,,,,,,0.07777777777777778,0.12222222222222222,0.25555555555555554,0.2222222222222222,0.14444444444444443,0.1111111111111111,0.03333333333333333,0.03333333333333333,,,0.12222222222222222,0.12222222222222222,,0.2,0.2111111111111111,0.15555555555555556,0.1,0.05555555555555555,0.022222222222222223,,0.011111111111111112,,0.0071499339999832046
planar10.edgelist,planar,kols,0.2,90,258,89,0.3449612403100775,True,True,inf,inf,1.0,inf,inf,inf,1033457.2834799518,154415.41272149805,0.07777777777777778,0.12222222222222222,0.25555555555555554,0.2222222222222222,0.14444444444444443,0.1111111111111111,0.03333333333333333,0.03333333333333333,,,0.12222222222222222,0.12222222222222222,,0.2,0.2111111111111111,0.15555555555555556,0.1,0.05555555555555555,0.022222222222222223,,0.011111111111111112,,,,,,,,0.34444444444444444,0.4222222222222222,0.13333333333333333,0.1,,,,,,,0.37777777777777777,0.32222222222222224,,0.23333333333333334,0.06666666666666667,,,,,,,0.0014251469999919664,0.005911962999988418
planar10.edgelist,planar,random,0.2,90,258,61,0.2364341085271318,True,False,inf,inf,1.0,inf,inf,inf,1033457.2834799518,178695.1237198751,0.07777777777777778,0.12222222222222222,0.25555555555555554,0.2222222222222222,0.14444444444444443,0.1111111111111111,0.03333333333333333,0.03333333333333333,,,0.12222222222222222,0.12222222222222222,,0.2,0.2111111111111111,0.15555555555555556,0.1,0.05555555555555555,0.022222222222222223,,0.011111111111111112,,,,,,,,0.5111111111111111,0.34444444444444444,0.1,0.044444444444444446,,,,,,,0.5111111111111111,0.32222222222222224,,0.14444444444444443,0.022222222222222223,,,,,,,0.00019044199999029843,0.005117643000005501
