graph_family,method,rho,n,m_og,m_sparse,edges_ratio,diameter_original,diameter_sparsified,unreachable_pairs_ratio,stretch_avg,stretch_var,stretch_max,laplacian_qf_original,laplacian_qf_sparsified,degree_distribution_original_in_0,degree_distribution_original_in_1,degree_distribution_original_in_2,degree_distribution_original_in_3,degree_distribution_original_in_4,degree_distribution_original_out_0,degree_distribution_original_out_1,degree_distribution_original_out_2,degree_distribution_original_out_3,degree_distribution_original_out_4,degree_distribution_sparsified_1,degree_distribution_sparsified_2,degree_distribution_sparsified_3,degree_distribution_sparsified_4,degree_distribution_sparsified_in_0,degree_distribution_sparsified_in_1,degree_distribution_sparsified_in_2,degree_distribution_sparsified_in_3,degree_distribution_sparsified_in_4,degree_distribution_sparsified_in_5,degree_distribution_sparsified_out_0,degree_distribution_sparsified_out_1,degree_distribution_sparsified_out_2,degree_distribution_sparsified_out_3,degree_distribution_sparsified_out_4,degree_distribution_sparsified_out_5,sparsify_time,metric_time
directed,k_neighbor,0.2,10.1,14.5,7.8,0.6195729044305894,inf,inf,0.530735294117647,inf,inf,inf,58082.4723036355,38595.83350294115,0.20992204962793196,0.5461128087598676,0.20000879139534597,0.18924539512774805,0.12313258636788045,0.27312622018504373,0.39785756726933197,0.26646106253949386,0.18662252779899835,0.0773420479302832,0.638916263475087,0.2811149308208131,0.12529708853238264,0.08660130718954245,,,,,,,,,,,,,0.00056966609990918,0.00045377759979596
directed,kols,0.2,10.1,14.5,9.1,0.7593867905585173,inf,inf,1.0,inf,inf,inf,58082.4723036355,31961.088822673606,0.20992204962793196,0.5461128087598676,0.20000879139534597,0.18924539512774805,0.12313258636788045,0.27312622018504373,0.39785756726933197,0.26646106253949386,0.18662252779899835,0.0773420479302832,,,,,0.27639865036923855,0.6002841439606146,0.1887700534759358,0.0964405964405964,,,0.3346653509888804,0.47246562261268144,0.1946910750832319,0.08823529411764705,,,0.00023228520012703,0.00046814309998804
directed,local_degree,0.2,10.1,14.5,8.0,0.6442882744495647,inf,inf,1.0,inf,inf,inf,58082.4723036355,33237.825614220594,0.20992204962793196,0.5461128087598676,0.20000879139534597,0.18924539512774805,0.12313258636788045,0.27312622018504373,0.39785756726933197,0.26646106253949386,0.18662252779899835,0.0773420479302832,,,,,0.4751160767337238,0.3793222137339784,0.14590760546642897,0.08073380867498513,0.085745409274821,,0.27312622018504373,0.7541864018334606,,,,,8.08829001471057e-05,0.00050185009986303
directed,mst,0.2,10.1,14.5,9.1,0.7593867905585173,inf,49.85185,0.0,inf,inf,inf,58082.4723036355,33598.1249020913,0.20992204962793196,0.5461128087598676,0.20000879139534597,0.18924539512774805,0.12313258636788045,0.27312622018504373,0.39785756726933197,0.26646106253949386,0.18662252779899835,0.0773420479302832,0.40506366182836767,0.4645823784059078,0.14848969890986694,0.0880372350960586,,,,,,,,,,,,,0.00010800169966385214,0.0004934923999826001
directed,original,0.2,10.1,14.5,,1.0,inf,inf,1.0,inf,inf,inf,58082.4723036355,58082.4723036355,0.20992204962793196,0.5461128087598676,0.20000879139534597,0.18924539512774805,0.12313258636788045,0.27312622018504373,0.39785756726933197,0.26646106253949386,0.18662252779899835,0.0773420479302832,,,,,0.20992204962793196,0.5461128087598676,0.20000879139534597,0.18924539512774805,0.12313258636788045,,0.27312622018504373,0.39785756726933197,0.26646106253949386,0.18662252779899835,0.0773420479302832,,,0.00064267010002361
directed,random,0.2,10.1,14.5,3.0,0.1949919430137646,inf,inf,1.0,inf,inf,inf,58082.4723036355,8481.362562802002,0.20992204962793196,0.5461128087598676,0.20000879139534597,0.18924539512774805,0.12313258636788045,0.27312622018504373,0.39785756726933197,0.26646106253949386,0.18662252779899835,0.0773420479302832,,,,,0.7675322553263729,0.21514748323571847,0.0577342047930283,,,,0.7737414056531704,0.20272918258212372,0.1176470588235294,,,,3.414610009713215e-05,0.00041880080007099
directed,t_spanner,0.2,10.1,14.5,20.8,1.627096372599219,inf,inf,1.0,inf,inf,inf,58082.4723036355,38498.8554718506,0.20992204962793196,0.5461128087598676,0.20000879139534597,0.18924539512774805,0.12313258636788045,0.27312622018504373,0.39785756726933197,0.26646106253949386,0.18662252779899835,0.0773420479302832,,,,,,0.3397413207707325,0.45335243188184365,0.2113214604023427,0.0684293919588037,0.0577342047930283,,0.3397413207707325,0.45335243188184365,0.2113214604023427,0.0684293919588037,0.0577342047930283,0.00027320479994155,0.00063926140001053
